region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06439_Rheingau-Taunus-Kreis,0.06237729,RRm,year,precipitation,mm day-1,7
06440_Wetteraukreis,0.059866842,RRm,year,precipitation,mm day-1,7
06531_Gießen,0.055411045,RRm,year,precipitation,mm day-1,7
06532_Lahn-Dill-Kreis,0.047145814,RRm,year,precipitation,mm day-1,7
06533_Limburg-Weilburg,0.053205054,RRm,year,precipitation,mm day-1,7
06534_Marburg-Biedenkopf,0.049874768,RRm,year,precipitation,mm day-1,7
06535_Vogelsbergkreis,0.04965516,RRm,year,precipitation,mm day-1,7
06611_06633_03159_Region_um_Kassel,0.062450185,RRm,year,precipitation,mm day-1,7
06611_Kassel,0.06694585,RRm,year,precipitation,mm day-1,7
06631_Fulda,0.049170244,RRm,year,precipitation,mm day-1,7
06632_Hersfeld-Rotenburg,0.06405742,RRm,year,precipitation,mm day-1,7
06633_Kassel,0.06222078,RRm,year,precipitation,mm day-1,7
06634_Schwalm-Eder-Kreis,0.060730487,RRm,year,precipitation,mm day-1,7
06635_Waldeck-Frankenberg,0.045841966,RRm,year,precipitation,mm day-1,7
06636_Werra-Meißner-Kreis,0.0637303,RRm,year,precipitation,mm day-1,7
07111_07137_07141_07143_Region_um_Koblenz,0.04898099,RRm,year,precipitation,mm day-1,7
07111_Koblenz,0.056258768,RRm,year,precipitation,mm day-1,7
07131_Ahrweiler,0.045403093,RRm,year,precipitation,mm day-1,7
07132_Altenkirchen (Westerwald),0.04154436,RRm,year,precipitation,mm day-1,7
07133_Bad Kreuznach,0.05447521,RRm,year,precipitation,mm day-1,7
07134_Birkenfeld,0.036541805,RRm,year,precipitation,mm day-1,7
07135_Cochem-Zell,0.03815817,RRm,year,precipitation,mm day-1,7
07137_Mayen-Koblenz,0.048822496,RRm,year,precipitation,mm day-1,7
07138_Neuwied,0.055733763,RRm,year,precipitation,mm day-1,7
07140_Rhein-Hunsrück-Kreis,0.04206823,RRm,year,precipitation,mm day-1,7
07141_Rhein-Lahn-Kreis,0.05435284,RRm,year,precipitation,mm day-1,7
07143_Westerwaldkreis,0.044035576,RRm,year,precipitation,mm day-1,7
07211_07235_Region_um_Trier,0.032049272,RRm,year,precipitation,mm day-1,7
07211_Trier,0.033945937,RRm,year,precipitation,mm day-1,7
07231_Bernkastel-Wittlich,0.03198792,RRm,year,precipitation,mm day-1,7
07232_Eifelkreis Bitburg-Prüm,0.02466503,RRm,year,precipitation,mm day-1,7
07233_Vulkaneifel,0.026606387,RRm,year,precipitation,mm day-1,7
07235_Trier-Saarburg,0.031834956,RRm,year,precipitation,mm day-1,7
