region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06534_Marburg-Biedenkopf,-0.21162307262420654,RRm,year,precipitation,mm day-1,7
06535_Vogelsbergkreis,-0.19857358932495117,RRm,year,precipitation,mm day-1,7
06611_06633_03159_Region_um_Kassel,-0.18657469749450684,RRm,year,precipitation,mm day-1,7
06611_Kassel,-0.2004925012588501,RRm,year,precipitation,mm day-1,7
06631_Fulda,-0.17135047912597656,RRm,year,precipitation,mm day-1,7
06632_Hersfeld-Rotenburg,-0.15429925918579102,RRm,year,precipitation,mm day-1,7
06633_Kassel,-0.19456827640533447,RRm,year,precipitation,mm day-1,7
06634_Schwalm-Eder-Kreis,-0.1762624979019165,RRm,year,precipitation,mm day-1,7
06635_Waldeck-Frankenberg,-0.2196671962738037,RRm,year,precipitation,mm day-1,7
06636_Werra-Meißner-Kreis,-0.1665022373199463,RRm,year,precipitation,mm day-1,7
07111_07137_07141_07143_Region_um_Koblenz,-0.18955206871032715,RRm,year,precipitation,mm day-1,7
07111_Koblenz,-0.15812575817108154,RRm,year,precipitation,mm day-1,7
07131_Ahrweiler,-0.17165780067443848,RRm,year,precipitation,mm day-1,7
07132_Altenkirchen (Westerwald),-0.25393223762512207,RRm,year,precipitation,mm day-1,7
07133_Bad Kreuznach,-0.14577758312225342,RRm,year,precipitation,mm day-1,7
07134_Birkenfeld,-0.22091460227966309,RRm,year,precipitation,mm day-1,7
07135_Cochem-Zell,-0.19218873977661133,RRm,year,precipitation,mm day-1,7
07137_Mayen-Koblenz,-0.16059339046478271,RRm,year,precipitation,mm day-1,7
07138_Neuwied,-0.2379603385925293,RRm,year,precipitation,mm day-1,7
07140_Rhein-Hunsrück-Kreis,-0.16519641876220703,RRm,year,precipitation,mm day-1,7
07141_Rhein-Lahn-Kreis,-0.1452927589416504,RRm,year,precipitation,mm day-1,7
07143_Westerwaldkreis,-0.2691366672515869,RRm,year,precipitation,mm day-1,7
07211_07235_Region_um_Trier,-0.2977938652038574,RRm,year,precipitation,mm day-1,7
07211_Trier,-0.22017908096313477,RRm,year,precipitation,mm day-1,7
07231_Bernkastel-Wittlich,-0.22820091247558594,RRm,year,precipitation,mm day-1,7
07232_Eifelkreis Bitburg-Prüm,-0.24184608459472656,RRm,year,precipitation,mm day-1,7
07233_Vulkaneifel,-0.21485161781311035,RRm,year,precipitation,mm day-1,7
07235_Trier-Saarburg,-0.3065648078918457,RRm,year,precipitation,mm day-1,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-0.20279860496520996,RRm,year,precipitation,mm day-1,7
07311_Frankenthal (Pfalz),-0.17186522483825684,RRm,year,precipitation,mm day-1,7
07312_07335_07332_Region_um_Kaiserslautern,-0.15456879138946533,RRm,year,precipitation,mm day-1,7
07312_Kaiserslautern,-0.17890691757202148,RRm,year,precipitation,mm day-1,7
07313_07337_Region_um_Landau_in_der_Pfalz,-0.17201721668243408,RRm,year,precipitation,mm day-1,7
07313_Landau in der Pfalz,-0.17450129985809326,RRm,year,precipitation,mm day-1,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-0.2025001049041748,RRm,year,precipitation,mm day-1,7
07314_Ludwigshafen am Rhein,-0.19440770149230957,RRm,year,precipitation,mm day-1,7
07315_07339_06414_06433_Region_um_Mainz,-0.11766886711120605,RRm,year,precipitation,mm day-1,7
07315_Mainz,-0.1116492748260498,RRm,year,precipitation,mm day-1,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,-0.14817333221435547,RRm,year,precipitation,mm day-1,7
07316_Neustadt an der Weinstraße,-0.1367408037185669,RRm,year,precipitation,mm day-1,7
07317_07340_Region_um_Pirmasens,-0.2001502513885498,RRm,year,precipitation,mm day-1,7
07317_Pirmasens,-0.20869970321655273,RRm,year,precipitation,mm day-1,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,-0.17005062103271484,RRm,year,precipitation,mm day-1,7
07318_Speyer,-0.20713400840759277,RRm,year,precipitation,mm day-1,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,-0.1373434066772461,RRm,year,precipitation,mm day-1,7
07319_Worms,-0.1409471035003662,RRm,year,precipitation,mm day-1,7
07320_07340_10045_07317_Region_um_Zweibrücken,-0.19505572319030762,RRm,year,precipitation,mm day-1,7
07320_Zweibrücken,-0.19937753677368164,RRm,year,precipitation,mm day-1,7
07331_Alzey-Worms,-0.13824987411499023,RRm,year,precipitation,mm day-1,7
07332_Bad Dürkheim,-0.12889623641967773,RRm,year,precipitation,mm day-1,7
07333_Donnersbergkreis,-0.14924108982086182,RRm,year,precipitation,mm day-1,7
07334_Germersheim,-0.20262694358825684,RRm,year,precipitation,mm day-1,7
07335_Kaiserslautern,-0.18034744262695312,RRm,year,precipitation,mm day-1,7
07336_Kusel,-0.1879051923751831,RRm,year,precipitation,mm day-1,7
07337_Südliche Weinstraße,-0.17166173458099365,RRm,year,precipitation,mm day-1,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,-0.1539320945739746,RRm,year,precipitation,mm day-1,7
07338_Rhein-Pfalz-Kreis,-0.19551897048950195,RRm,year,precipitation,mm day-1,7
07339_Mainz-Bingen,-0.11912906169891357,RRm,year,precipitation,mm day-1,7
07340_Südwestpfalz,-0.19955682754516602,RRm,year,precipitation,mm day-1,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,-0.17994093894958496,RRm,year,precipitation,mm day-1,7
08111_Stuttgart,-0.1937117576599121,RRm,year,precipitation,mm day-1,7
08115_Böblingen,-0.20190691947937012,RRm,year,precipitation,mm day-1,7
08116_Esslingen,-0.2167952060699463,RRm,year,precipitation,mm day-1,7
08117_Göppingen,-0.19695186614990234,RRm,year,precipitation,mm day-1,7
08118_Ludwigsburg,-0.154829740524292,RRm,year,precipitation,mm day-1,7
08119_Rems-Murr-Kreis,-0.2090592384338379,RRm,year,precipitation,mm day-1,7
08121_08125_Region_um_Heilbronn,-0.1768648624420166,RRm,year,precipitation,mm day-1,7
08121_Heilbronn,-0.16428375244140625,RRm,year,precipitation,mm day-1,7
08125_Heilbronn,-0.17809247970581055,RRm,year,precipitation,mm day-1,7
08126_Hohenlohekreis,-0.17859840393066406,RRm,year,precipitation,mm day-1,7
08127_Schwäbisch Hall,-0.1534879207611084,RRm,year,precipitation,mm day-1,7
08128_Main-Tauber-Kreis,-0.13704609870910645,RRm,year,precipitation,mm day-1,7
08135_Heidenheim,-0.10795259475708008,RRm,year,precipitation,mm day-1,7
08136_Ostalbkreis,-0.14208006858825684,RRm,year,precipitation,mm day-1,7
08211_08216_Region_um_Baden-Baden,-0.3305339813232422,RRm,year,precipitation,mm day-1,7
08211_Baden-Baden,-0.35007762908935547,RRm,year,precipitation,mm day-1,7
08212_08215_07334_Region_um_Karlsruhe,-0.18083930015563965,RRm,year,precipitation,mm day-1,7
08212_Karlsruhe,-0.2047255039215088,RRm,year,precipitation,mm day-1,7
08215_Karlsruhe,-0.17217278480529785,RRm,year,precipitation,mm day-1,7
08216_Rastatt,-0.32688045501708984,RRm,year,precipitation,mm day-1,7
08221_08226_08222_Region_um_Heidelberg,-0.24799537658691406,RRm,year,precipitation,mm day-1,7
08221_Heidelberg,-0.29707765579223633,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-0.22308731079101562,RRm,year,precipitation,mm day-1,7
08222_Mannheim,-0.23069095611572266,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,-0.21092915534973145,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,-0.259998083114624,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,-0.2297072410583496,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,-0.18676257133483887,RRm,year,precipitation,mm day-1,7
08235_Calw,-0.2682352066040039,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,-0.18674635887145996,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,-0.3990659713745117,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,-0.4489459991455078,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,-0.4246382713317871,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,-0.43017578125,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,-0.4933300018310547,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,-0.4385223388671875,RRm,year,precipitation,mm day-1,7
08325_Rottweil,-0.26033568382263184,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,-0.28232479095458984,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,-0.2333211898803711,RRm,year,precipitation,mm day-1,7
08335_Konstanz,-0.17397093772888184,RRm,year,precipitation,mm day-1,7
08336_Lörrach,-0.5075716972351074,RRm,year,precipitation,mm day-1,7
08337_Waldshut,-0.25487279891967773,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,-0.19327378273010254,RRm,year,precipitation,mm day-1,7
08416_Tübingen,-0.21186542510986328,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,-0.2352619171142578,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,-0.12324404716491699,RRm,year,precipitation,mm day-1,7
08421_Ulm,-0.11203312873840332,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,-0.12594890594482422,RRm,year,precipitation,mm day-1,7
08426_Biberach,-0.12601351737976074,RRm,year,precipitation,mm day-1,7
08435_Bodenseekreis,-0.17573213577270508,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,-0.19341087341308594,RRm,year,precipitation,mm day-1,7
08437_Sigmaringen,-0.16924452781677246,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,-0.12330150604248047,RRm,year,precipitation,mm day-1,7
