region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07318_Speyer,0.34615230560302734,RRm,year,precipitation,mm day-1,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.2978801727294922,RRm,year,precipitation,mm day-1,7
07319_Worms,0.2997777462005615,RRm,year,precipitation,mm day-1,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.2662169933319092,RRm,year,precipitation,mm day-1,7
07320_Zweibrücken,0.27735328674316406,RRm,year,precipitation,mm day-1,7
07331_Alzey-Worms,0.2518601417541504,RRm,year,precipitation,mm day-1,7
07332_Bad Dürkheim,0.24925708770751953,RRm,year,precipitation,mm day-1,7
07333_Donnersbergkreis,0.2359483242034912,RRm,year,precipitation,mm day-1,7
07334_Germersheim,0.31397271156311035,RRm,year,precipitation,mm day-1,7
07335_Kaiserslautern,0.25255274772644043,RRm,year,precipitation,mm day-1,7
07336_Kusel,0.26942896842956543,RRm,year,precipitation,mm day-1,7
07337_Südliche Weinstraße,0.2503563165664673,RRm,year,precipitation,mm day-1,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.30797624588012695,RRm,year,precipitation,mm day-1,7
07338_Rhein-Pfalz-Kreis,0.32499146461486816,RRm,year,precipitation,mm day-1,7
07339_Mainz-Bingen,0.2250075340270996,RRm,year,precipitation,mm day-1,7
07340_Südwestpfalz,0.26513123512268066,RRm,year,precipitation,mm day-1,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.27965211868286133,RRm,year,precipitation,mm day-1,7
08111_Stuttgart,0.2843644618988037,RRm,year,precipitation,mm day-1,7
08115_Böblingen,0.2556746006011963,RRm,year,precipitation,mm day-1,7
08116_Esslingen,0.3154621124267578,RRm,year,precipitation,mm day-1,7
08117_Göppingen,0.3263356685638428,RRm,year,precipitation,mm day-1,7
08118_Ludwigsburg,0.29205322265625,RRm,year,precipitation,mm day-1,7
08119_Rems-Murr-Kreis,0.30440258979797363,RRm,year,precipitation,mm day-1,7
08121_08125_Region_um_Heilbronn,0.30720067024230957,RRm,year,precipitation,mm day-1,7
08121_Heilbronn,0.3312225341796875,RRm,year,precipitation,mm day-1,7
08125_Heilbronn,0.3048551082611084,RRm,year,precipitation,mm day-1,7
08126_Hohenlohekreis,0.27313709259033203,RRm,year,precipitation,mm day-1,7
08127_Schwäbisch Hall,0.24035191535949707,RRm,year,precipitation,mm day-1,7
08128_Main-Tauber-Kreis,0.25885581970214844,RRm,year,precipitation,mm day-1,7
08135_Heidenheim,0.30140089988708496,RRm,year,precipitation,mm day-1,7
08136_Ostalbkreis,0.26289916038513184,RRm,year,precipitation,mm day-1,7
08211_08216_Region_um_Baden-Baden,0.35994601249694824,RRm,year,precipitation,mm day-1,7
08211_Baden-Baden,0.3989081382751465,RRm,year,precipitation,mm day-1,7
08212_08215_07334_Region_um_Karlsruhe,0.31667399406433105,RRm,year,precipitation,mm day-1,7
08212_Karlsruhe,0.3593106269836426,RRm,year,precipitation,mm day-1,7
08215_Karlsruhe,0.3108344078063965,RRm,year,precipitation,mm day-1,7
08216_Rastatt,0.352663516998291,RRm,year,precipitation,mm day-1,7
08221_08226_08222_Region_um_Heidelberg,0.351879358291626,RRm,year,precipitation,mm day-1,7
08221_Heidelberg,0.40358972549438477,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.34876489639282227,RRm,year,precipitation,mm day-1,7
08222_Mannheim,0.3556554317474365,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,0.27292537689208984,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,0.3459968566894531,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,0.26697611808776855,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,0.2576625347137451,RRm,year,precipitation,mm day-1,7
08235_Calw,0.32659006118774414,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,0.25583505630493164,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,0.41547107696533203,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.3974490165710449,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,0.45667219161987305,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,0.3954296112060547,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,0.4439558982849121,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,0.45360755920410156,RRm,year,precipitation,mm day-1,7
08325_Rottweil,0.3083958625793457,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,0.3340911865234375,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,0.3389163017272949,RRm,year,precipitation,mm day-1,7
08335_Konstanz,0.3662881851196289,RRm,year,precipitation,mm day-1,7
08336_Lörrach,0.48512959480285645,RRm,year,precipitation,mm day-1,7
08337_Waldshut,0.39740896224975586,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,0.37905120849609375,RRm,year,precipitation,mm day-1,7
08416_Tübingen,0.2898876667022705,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,0.3539588451385498,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,0.3580741882324219,RRm,year,precipitation,mm day-1,7
08421_Ulm,0.34090638160705566,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,0.34792137145996094,RRm,year,precipitation,mm day-1,7
08426_Biberach,0.3984503746032715,RRm,year,precipitation,mm day-1,7
08435_Bodenseekreis,0.6449189186096191,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,0.44771265983581543,RRm,year,precipitation,mm day-1,7
08437_Sigmaringen,0.34941554069519043,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.2796056270599365,RRm,year,precipitation,mm day-1,7
09161_Ingolstadt,0.26580774784088135,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,0.3068070411682129,RRm,year,precipitation,mm day-1,7
09162_München,0.3470447063446045,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,0.36826205253601074,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,0.3688232898712158,RRm,year,precipitation,mm day-1,7
09171_Altötting,0.26401305198669434,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,0.4625406265258789,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,0.4214773178100586,RRm,year,precipitation,mm day-1,7
09174_Dachau,0.2881488800048828,RRm,year,precipitation,mm day-1,7
