region,RRm_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05970_Siegen-Wittgenstein,-0.34426093101501465,RRm,year,precipitation,mm day-1,7
05974_Soest,-0.2630610466003418,RRm,year,precipitation,mm day-1,7
05978_Unna,-0.23953580856323242,RRm,year,precipitation,mm day-1,7
06411_06432_06438_Region_um_Darmstadt,-0.15189552307128906,RRm,year,precipitation,mm day-1,7
06411_Darmstadt,-0.15928149223327637,RRm,year,precipitation,mm day-1,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-0.18383455276489258,RRm,year,precipitation,mm day-1,7
06412_Frankfurt am Main,-0.14185941219329834,RRm,year,precipitation,mm day-1,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-0.2335665225982666,RRm,year,precipitation,mm day-1,7
06413_Offenbach am Main,-0.16564202308654785,RRm,year,precipitation,mm day-1,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-0.10445952415466309,RRm,year,precipitation,mm day-1,7
06414_Wiesbaden,-0.11818897724151611,RRm,year,precipitation,mm day-1,7
06431_Bergstraße,-0.2959270477294922,RRm,year,precipitation,mm day-1,7
06432_Darmstadt-Dieburg,-0.14805376529693604,RRm,year,precipitation,mm day-1,7
06433_Groß-Gerau,-0.1618340015411377,RRm,year,precipitation,mm day-1,7
06434_Hochtaunuskreis,-0.16363728046417236,RRm,year,precipitation,mm day-1,7
06435_Main-Kinzig-Kreis,-0.2691984176635742,RRm,year,precipitation,mm day-1,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-0.12795233726501465,RRm,year,precipitation,mm day-1,7
06436_Main-Taunus-Kreis,-0.12950313091278076,RRm,year,precipitation,mm day-1,7
06437_Odenwaldkreis,-0.3331022262573242,RRm,year,precipitation,mm day-1,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-0.2019040584564209,RRm,year,precipitation,mm day-1,7
06438_Offenbach,-0.16426515579223633,RRm,year,precipitation,mm day-1,7
06439_Rheingau-Taunus-Kreis,-0.12253916263580322,RRm,year,precipitation,mm day-1,7
06440_Wetteraukreis,-0.14669549465179443,RRm,year,precipitation,mm day-1,7
06531_Gießen,-0.19226551055908203,RRm,year,precipitation,mm day-1,7
06532_Lahn-Dill-Kreis,-0.21213483810424805,RRm,year,precipitation,mm day-1,7
06533_Limburg-Weilburg,-0.1695648431777954,RRm,year,precipitation,mm day-1,7
06534_Marburg-Biedenkopf,-0.18065810203552246,RRm,year,precipitation,mm day-1,7
06535_Vogelsbergkreis,-0.23083901405334473,RRm,year,precipitation,mm day-1,7
06611_06633_03159_Region_um_Kassel,-0.21307969093322754,RRm,year,precipitation,mm day-1,7
06611_Kassel,-0.17942273616790771,RRm,year,precipitation,mm day-1,7
06631_Fulda,-0.26308417320251465,RRm,year,precipitation,mm day-1,7
06632_Hersfeld-Rotenburg,-0.21031463146209717,RRm,year,precipitation,mm day-1,7
06633_Kassel,-0.18162131309509277,RRm,year,precipitation,mm day-1,7
06634_Schwalm-Eder-Kreis,-0.19658315181732178,RRm,year,precipitation,mm day-1,7
06635_Waldeck-Frankenberg,-0.20267140865325928,RRm,year,precipitation,mm day-1,7
06636_Werra-Meißner-Kreis,-0.23044276237487793,RRm,year,precipitation,mm day-1,7
07111_07137_07141_07143_Region_um_Koblenz,-0.15251612663269043,RRm,year,precipitation,mm day-1,7
07111_Koblenz,-0.1560361385345459,RRm,year,precipitation,mm day-1,7
07131_Ahrweiler,-0.2412647008895874,RRm,year,precipitation,mm day-1,7
07132_Altenkirchen (Westerwald),-0.2810344696044922,RRm,year,precipitation,mm day-1,7
07133_Bad Kreuznach,-0.16097164154052734,RRm,year,precipitation,mm day-1,7
07134_Birkenfeld,-0.21666622161865234,RRm,year,precipitation,mm day-1,7
07135_Cochem-Zell,-0.23285603523254395,RRm,year,precipitation,mm day-1,7
07137_Mayen-Koblenz,-0.19904351234436035,RRm,year,precipitation,mm day-1,7
07138_Neuwied,-0.15303921699523926,RRm,year,precipitation,mm day-1,7
07140_Rhein-Hunsrück-Kreis,-0.17229247093200684,RRm,year,precipitation,mm day-1,7
07141_Rhein-Lahn-Kreis,-0.11337685585021973,RRm,year,precipitation,mm day-1,7
