region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_year_1.5C_rcp85_ensemble-robustness
07313_Landau in der Pfalz,RRm,year,precipitation,mm day-1,7,1.0
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,RRm,year,precipitation,mm day-1,7,1.0
07314_Ludwigshafen am Rhein,RRm,year,precipitation,mm day-1,7,1.0
07315_07339_06414_06433_Region_um_Mainz,RRm,year,precipitation,mm day-1,7,1.0
07315_Mainz,RRm,year,precipitation,mm day-1,7,1.0
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,RRm,year,precipitation,mm day-1,7,1.0
07316_Neustadt an der Weinstraße,RRm,year,precipitation,mm day-1,7,1.0
07317_07340_Region_um_Pirmasens,RRm,year,precipitation,mm day-1,7,
07317_Pirmasens,RRm,year,precipitation,mm day-1,7,
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,RRm,year,precipitation,mm day-1,7,1.0
07318_Speyer,RRm,year,precipitation,mm day-1,7,1.0
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,RRm,year,precipitation,mm day-1,7,1.0
07319_Worms,RRm,year,precipitation,mm day-1,7,1.0
07320_07340_10045_07317_Region_um_Zweibrücken,RRm,year,precipitation,mm day-1,7,
07320_Zweibrücken,RRm,year,precipitation,mm day-1,7,
07331_Alzey-Worms,RRm,year,precipitation,mm day-1,7,1.0
07332_Bad Dürkheim,RRm,year,precipitation,mm day-1,7,1.0
07333_Donnersbergkreis,RRm,year,precipitation,mm day-1,7,1.0
07334_Germersheim,RRm,year,precipitation,mm day-1,7,1.0
07335_Kaiserslautern,RRm,year,precipitation,mm day-1,7,1.0
07336_Kusel,RRm,year,precipitation,mm day-1,7,
07337_Südliche Weinstraße,RRm,year,precipitation,mm day-1,7,1.0
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,RRm,year,precipitation,mm day-1,7,1.0
07338_Rhein-Pfalz-Kreis,RRm,year,precipitation,mm day-1,7,1.0
07339_Mainz-Bingen,RRm,year,precipitation,mm day-1,7,1.0
07340_Südwestpfalz,RRm,year,precipitation,mm day-1,7,
08111_08115_08116_08118_08119_Region_um_Stuttgart,RRm,year,precipitation,mm day-1,7,1.0
08111_Stuttgart,RRm,year,precipitation,mm day-1,7,1.0
08115_Böblingen,RRm,year,precipitation,mm day-1,7,1.0
08116_Esslingen,RRm,year,precipitation,mm day-1,7,1.0
08117_Göppingen,RRm,year,precipitation,mm day-1,7,1.0
