region,RRm_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.1425108,RRm,year,precipitation,mm day-1,7
06438_Offenbach,0.13760516,RRm,year,precipitation,mm day-1,7
06439_Rheingau-Taunus-Kreis,0.12622643,RRm,year,precipitation,mm day-1,7
06440_Wetteraukreis,0.14701016,RRm,year,precipitation,mm day-1,7
06531_Gießen,0.13642363,RRm,year,precipitation,mm day-1,7
06532_Lahn-Dill-Kreis,0.11929235,RRm,year,precipitation,mm day-1,7
06533_Limburg-Weilburg,0.13089368,RRm,year,precipitation,mm day-1,7
06534_Marburg-Biedenkopf,0.11557856,RRm,year,precipitation,mm day-1,7
06535_Vogelsbergkreis,0.12449517,RRm,year,precipitation,mm day-1,7
06611_06633_03159_Region_um_Kassel,0.14163037,RRm,year,precipitation,mm day-1,7
06611_Kassel,0.1378552,RRm,year,precipitation,mm day-1,7
06631_Fulda,0.13118333,RRm,year,precipitation,mm day-1,7
06632_Hersfeld-Rotenburg,0.12755498,RRm,year,precipitation,mm day-1,7
06633_Kassel,0.13111883,RRm,year,precipitation,mm day-1,7
06634_Schwalm-Eder-Kreis,0.12658758,RRm,year,precipitation,mm day-1,7
06635_Waldeck-Frankenberg,0.10698569,RRm,year,precipitation,mm day-1,7
06636_Werra-Meißner-Kreis,0.13078643,RRm,year,precipitation,mm day-1,7
07111_07137_07141_07143_Region_um_Koblenz,0.12293512,RRm,year,precipitation,mm day-1,7
07111_Koblenz,0.1317466,RRm,year,precipitation,mm day-1,7
07131_Ahrweiler,0.099929266,RRm,year,precipitation,mm day-1,7
07132_Altenkirchen (Westerwald),0.1435415,RRm,year,precipitation,mm day-1,7
07133_Bad Kreuznach,0.10427977,RRm,year,precipitation,mm day-1,7
07134_Birkenfeld,0.09612566,RRm,year,precipitation,mm day-1,7
07135_Cochem-Zell,0.09227574,RRm,year,precipitation,mm day-1,7
07137_Mayen-Koblenz,0.109115794,RRm,year,precipitation,mm day-1,7
07138_Neuwied,0.14382404,RRm,year,precipitation,mm day-1,7
07140_Rhein-Hunsrück-Kreis,0.096431784,RRm,year,precipitation,mm day-1,7
07141_Rhein-Lahn-Kreis,0.12199602,RRm,year,precipitation,mm day-1,7
07143_Westerwaldkreis,0.1339861,RRm,year,precipitation,mm day-1,7
07211_07235_Region_um_Trier,0.10326513,RRm,year,precipitation,mm day-1,7
07211_Trier,0.10451267,RRm,year,precipitation,mm day-1,7
07231_Bernkastel-Wittlich,0.09330095,RRm,year,precipitation,mm day-1,7
07232_Eifelkreis Bitburg-Prüm,0.083164446,RRm,year,precipitation,mm day-1,7
07233_Vulkaneifel,0.08087132,RRm,year,precipitation,mm day-1,7
07235_Trier-Saarburg,0.103124164,RRm,year,precipitation,mm day-1,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.14624722,RRm,year,precipitation,mm day-1,7
07311_Frankenthal (Pfalz),0.14098245,RRm,year,precipitation,mm day-1,7
07312_07335_07332_Region_um_Kaiserslautern,0.11169352,RRm,year,precipitation,mm day-1,7
07312_Kaiserslautern,0.1085665,RRm,year,precipitation,mm day-1,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.11902112,RRm,year,precipitation,mm day-1,7
07313_Landau in der Pfalz,0.11873153,RRm,year,precipitation,mm day-1,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,0.14662094,RRm,year,precipitation,mm day-1,7
07314_Ludwigshafen am Rhein,0.14535733,RRm,year,precipitation,mm day-1,7
07315_07339_06414_06433_Region_um_Mainz,0.13178326,RRm,year,precipitation,mm day-1,7
07315_Mainz,0.12821282,RRm,year,precipitation,mm day-1,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.11672365,RRm,year,precipitation,mm day-1,7
07316_Neustadt an der Weinstraße,0.11728286,RRm,year,precipitation,mm day-1,7
07317_07340_Region_um_Pirmasens,0.12398579,RRm,year,precipitation,mm day-1,7
07317_Pirmasens,0.12515874,RRm,year,precipitation,mm day-1,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.15465713,RRm,year,precipitation,mm day-1,7
07318_Speyer,0.14081156,RRm,year,precipitation,mm day-1,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.13553657,RRm,year,precipitation,mm day-1,7
07319_Worms,0.13866903,RRm,year,precipitation,mm day-1,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.123778194,RRm,year,precipitation,mm day-1,7
07320_Zweibrücken,0.123817496,RRm,year,precipitation,mm day-1,7
07331_Alzey-Worms,0.11977925,RRm,year,precipitation,mm day-1,7
07332_Bad Dürkheim,0.113891765,RRm,year,precipitation,mm day-1,7
07333_Donnersbergkreis,0.10340915,RRm,year,precipitation,mm day-1,7
07334_Germersheim,0.13294446,RRm,year,precipitation,mm day-1,7
07335_Kaiserslautern,0.110303834,RRm,year,precipitation,mm day-1,7
07336_Kusel,0.1039984,RRm,year,precipitation,mm day-1,7
07337_Südliche Weinstraße,0.119062625,RRm,year,precipitation,mm day-1,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.14223401,RRm,year,precipitation,mm day-1,7
07338_Rhein-Pfalz-Kreis,0.13886748,RRm,year,precipitation,mm day-1,7
