realization,region,SU35_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_SU35,05114_Krefeld,0.27889746,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05116_05370_05166_05162_Region_um_Mönchengladbach,0.21711414,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05116_Mönchengladbach,0.16887425,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.16683741,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05117_Mülheim an der Ruhr,0.16371052,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.20771109,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05119_Oberhausen,0.16561861,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05120_05124_05122_05378_05374_Region_um_Remscheid,0.009476174,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05120_Remscheid,0.0,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05122_05158_05124_05378_05120_Region_um_Solingen,0.052356247,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05122_Solingen,0.020196486,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.024138924,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
