region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09174_Dachau,0.012473899871110916,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,-0.018632521852850914,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,0.019902432337403297,HSf3,year,hot_spell_frequency,,7
09177_Erding,0.025195419788360596,HSf3,year,hot_spell_frequency,,7
09178_Freising,0.037518538534641266,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,-0.0293409563601017,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,-0.0157923623919487,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,-0.032177094370126724,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,-0.018510356545448303,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,0.012617900967597961,HSf3,year,hot_spell_frequency,,7
09184_München,0.007368292659521103,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,0.03559700772166252,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,0.026242680847644806,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,-0.019566847011446953,HSf3,year,hot_spell_frequency,,7
