region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06439_Rheingau-Taunus-Kreis,2.0028953552246094,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,2.335071086883545,HSf3,year,hot_spell_frequency,,7
06531_Gießen,2.1619837284088135,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,1.7128651142120361,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,2.066643476486206,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,1.9060070514678955,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,1.7156221866607666,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,1.646146297454834,HSf3,year,hot_spell_frequency,,7
06611_Kassel,1.7321338653564453,HSf3,year,hot_spell_frequency,,7
06631_Fulda,1.6723930835723877,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,1.8117868900299072,HSf3,year,hot_spell_frequency,,7
06633_Kassel,1.737068772315979,HSf3,year,hot_spell_frequency,,7
06634_Schwalm-Eder-Kreis,1.8132811784744263,HSf3,year,hot_spell_frequency,,7
06635_Waldeck-Frankenberg,1.3648252487182617,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,1.6420142650604248,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,1.7519230842590332,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,2.325582504272461,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,1.4641199111938477,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),1.4489938020706177,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,2.289483070373535,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,1.4660636186599731,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,1.745436429977417,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,1.8733136653900146,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,1.8452019691467285,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,1.7805235385894775,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,1.9718260765075684,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,1.543792724609375,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,1.8644911050796509,HSf3,year,hot_spell_frequency,,7
07211_Trier,2.4218058586120605,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,1.7373743057250977,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,1.336564302444458,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,1.1234261989593506,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,1.801513671875,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),3.207141399383545,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),3.168199062347412,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,2.3624978065490723,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,2.318056583404541,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,2.4956045150756836,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,2.406538963317871,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,3.2000300884246826,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,3.163517951965332,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,2.6795616149902344,HSf3,year,hot_spell_frequency,,7
07315_Mainz,2.7978174686431885,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,2.4703073501586914,HSf3,year,hot_spell_frequency,,7
