region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06634_Schwalm-Eder-Kreis,1.3967111110687256,HSf3,year,hot_spell_frequency,,7
06635_Waldeck-Frankenberg,1.0509672164916992,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,1.2614200115203857,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,1.5413888692855835,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,1.7907460927963257,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,1.2862701416015625,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),1.299762487411499,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,1.9428797960281372,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,1.5341063737869263,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,1.5765504837036133,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,1.55202054977417,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,1.5563697814941406,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,1.4788051843643188,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,1.6515636444091797,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,1.3056690692901611,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,1.7215558290481567,HSf3,year,hot_spell_frequency,,7
07211_Trier,1.8759841918945312,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,1.575357437133789,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,1.2542500495910645,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,1.0072665214538574,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,1.6893892288208008,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),2.5754005908966064,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),2.63261079788208,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,2.138355255126953,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,1.9813156127929688,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,2.5667216777801514,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,2.5109641551971436,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,2.5723562240600586,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,2.596402645111084,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,2.3680896759033203,HSf3,year,hot_spell_frequency,,7
07315_Mainz,2.448817253112793,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,2.462493419647217,HSf3,year,hot_spell_frequency,,7
07316_Neustadt an der Weinstraße,2.5116324424743652,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,2.12894344329834,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,2.085089921951294,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,2.496506929397583,HSf3,year,hot_spell_frequency,,7
07318_Speyer,2.6197032928466797,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,2.3961217403411865,HSf3,year,hot_spell_frequency,,7
07319_Worms,2.5567774772644043,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,2.077960252761841,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,2.10764741897583,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,2.3689675331115723,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,2.3383846282958984,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,2.0420637130737305,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,2.6870532035827637,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,1.9899917840957642,HSf3,year,hot_spell_frequency,,7
07336_Kusel,1.9391663074493408,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,2.573192596435547,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,2.516733407974243,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,2.580594062805176,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,2.2617275714874268,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,2.1319873332977295,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,2.375824451446533,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,2.52473783493042,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,2.3073577880859375,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,2.3618202209472656,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,1.7885996103286743,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,2.5064849853515625,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,2.3135738372802734,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,2.4885458946228027,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,2.554725170135498,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,2.473422050476074,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,2.1320109367370605,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,1.981736660003662,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,2.0570602416992188,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,1.9422554969787598,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,1.9073339700698853,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,2.1180832386016846,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,2.071988582611084,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,2.5046494007110596,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,2.558459758758545,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,2.489175796508789,HSf3,year,hot_spell_frequency,,7
