region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08128_Main-Tauber-Kreis,-0.06642979383468628,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,-0.06149613857269287,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,-0.04135864973068237,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,-0.01943311095237732,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,-0.019568294286727905,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,0.01338958740234375,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,0.027538418769836426,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,0.024542033672332764,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,-0.01940789818763733,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,-0.06933403015136719,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,-0.07347911596298218,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-0.07503080368041992,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,-0.11216658353805542,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,-0.089021235704422,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,-0.06290483474731445,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,-0.0635642558336258,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,-0.08415964245796204,HSf3,year,hot_spell_frequency,,7
08235_Calw,-0.038002341985702515,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,-0.09532606601715088,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,-0.03053511679172516,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,-0.019419074058532715,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,-0.011817090213298798,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,-0.030766814947128296,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,-0.0050958991050720215,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,-0.013537883758544922,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,-0.0004342980682849884,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,-0.0368097648024559,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,-0.051285430788993835,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,0.009132816456258297,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,-0.00282992422580719,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,0.0016789734363555908,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,-0.08805020153522491,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,-0.049881547689437866,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,-0.03132350742816925,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,-0.02991485595703125,HSf3,year,hot_spell_frequency,,7
08421_Ulm,-0.045311808586120605,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,-0.05002249777317047,HSf3,year,hot_spell_frequency,,7
08426_Biberach,-0.030109912157058716,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,0.0007948814891278744,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,-0.06173211336135864,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,-0.07281900942325592,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,-0.06298089027404785,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,-0.14087554812431335,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,-0.006991233676671982,HSf3,year,hot_spell_frequency,,7
09162_München,-0.038343194872140884,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,0.0021425122395157814,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,-0.01711970567703247,HSf3,year,hot_spell_frequency,,7
09171_Altötting,0.020774338394403458,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,-0.0023234046529978514,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,-0.014282211661338806,HSf3,year,hot_spell_frequency,,7
09174_Dachau,-0.05641421675682068,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,0.022706925868988037,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,-0.03625255823135376,HSf3,year,hot_spell_frequency,,7
09177_Erding,-0.01457572728395462,HSf3,year,hot_spell_frequency,,7
09178_Freising,-0.02686139941215515,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,-0.007224559783935547,HSf3,year,hot_spell_frequency,,7
