region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,HSf3,year,hot_spell_frequency,,7,2
06436_Main-Taunus-Kreis,HSf3,year,hot_spell_frequency,,7,2
06437_Odenwaldkreis,HSf3,year,hot_spell_frequency,,7,2
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,HSf3,year,hot_spell_frequency,,7,2
06438_Offenbach,HSf3,year,hot_spell_frequency,,7,2
06439_Rheingau-Taunus-Kreis,HSf3,year,hot_spell_frequency,,7,2
06440_Wetteraukreis,HSf3,year,hot_spell_frequency,,7,2
06531_Gießen,HSf3,year,hot_spell_frequency,,7,2
06532_Lahn-Dill-Kreis,HSf3,year,hot_spell_frequency,,7,2
06533_Limburg-Weilburg,HSf3,year,hot_spell_frequency,,7,2
06534_Marburg-Biedenkopf,HSf3,year,hot_spell_frequency,,7,2
06535_Vogelsbergkreis,HSf3,year,hot_spell_frequency,,7,2
06611_06633_03159_Region_um_Kassel,HSf3,year,hot_spell_frequency,,7,2
06611_Kassel,HSf3,year,hot_spell_frequency,,7,1
06631_Fulda,HSf3,year,hot_spell_frequency,,7,2
06632_Hersfeld-Rotenburg,HSf3,year,hot_spell_frequency,,7,1
06633_Kassel,HSf3,year,hot_spell_frequency,,7,2
06634_Schwalm-Eder-Kreis,HSf3,year,hot_spell_frequency,,7,2
06635_Waldeck-Frankenberg,HSf3,year,hot_spell_frequency,,7,2
06636_Werra-Meißner-Kreis,HSf3,year,hot_spell_frequency,,7,1
07111_07137_07141_07143_Region_um_Koblenz,HSf3,year,hot_spell_frequency,,7,2
07111_Koblenz,HSf3,year,hot_spell_frequency,,7,2
07131_Ahrweiler,HSf3,year,hot_spell_frequency,,7,2
07132_Altenkirchen (Westerwald),HSf3,year,hot_spell_frequency,,7,1
07133_Bad Kreuznach,HSf3,year,hot_spell_frequency,,7,2
07134_Birkenfeld,HSf3,year,hot_spell_frequency,,7,2
07135_Cochem-Zell,HSf3,year,hot_spell_frequency,,7,2
07137_Mayen-Koblenz,HSf3,year,hot_spell_frequency,,7,2
07138_Neuwied,HSf3,year,hot_spell_frequency,,7,2
07140_Rhein-Hunsrück-Kreis,HSf3,year,hot_spell_frequency,,7,2
07141_Rhein-Lahn-Kreis,HSf3,year,hot_spell_frequency,,7,2
07143_Westerwaldkreis,HSf3,year,hot_spell_frequency,,7,2
07211_07235_Region_um_Trier,HSf3,year,hot_spell_frequency,,7,2
07211_Trier,HSf3,year,hot_spell_frequency,,7,2
07231_Bernkastel-Wittlich,HSf3,year,hot_spell_frequency,,7,2
07232_Eifelkreis Bitburg-Prüm,HSf3,year,hot_spell_frequency,,7,2
07233_Vulkaneifel,HSf3,year,hot_spell_frequency,,7,1
07235_Trier-Saarburg,HSf3,year,hot_spell_frequency,,7,2
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),HSf3,year,hot_spell_frequency,,7,2
07311_Frankenthal (Pfalz),HSf3,year,hot_spell_frequency,,7,2
07312_07335_07332_Region_um_Kaiserslautern,HSf3,year,hot_spell_frequency,,7,2
07312_Kaiserslautern,HSf3,year,hot_spell_frequency,,7,2
07313_07337_Region_um_Landau_in_der_Pfalz,HSf3,year,hot_spell_frequency,,7,2
07313_Landau in der Pfalz,HSf3,year,hot_spell_frequency,,7,2
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,HSf3,year,hot_spell_frequency,,7,2
