region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06635_Waldeck-Frankenberg,0.29533023,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,0.35292086,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,0.41827196,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,0.52615786,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,0.31903788,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),0.33248255,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,0.5335802,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,0.35299838,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,0.4009882,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,0.43602034,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,0.45477763,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,0.3840308,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,0.45605114,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,0.3616933,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,0.41660905,HSf3,year,hot_spell_frequency,,7
07211_Trier,0.45526594,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,0.39576337,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.313992,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,0.24004132,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,0.41224074,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.8140614,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),0.8263136,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,0.580229,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,0.52476424,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.6934941,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,0.6809709,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,0.8142321,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,0.8213365,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,0.698246,HSf3,year,hot_spell_frequency,,7
07315_Mainz,0.72137284,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.67580175,HSf3,year,hot_spell_frequency,,7
07316_Neustadt an der Weinstraße,0.69395053,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,0.5494522,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,0.5354591,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.7353705,HSf3,year,hot_spell_frequency,,7
07318_Speyer,0.8115772,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.70619655,HSf3,year,hot_spell_frequency,,7
07319_Worms,0.7978117,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.5405434,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,0.51883286,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,0.69951725,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,0.65147966,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,0.5786121,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,0.79765034,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,0.5245284,HSf3,year,hot_spell_frequency,,7
07336_Kusel,0.5161725,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,0.695287,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.72739804,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,0.8128138,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,0.6617623,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,0.55042344,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.61253566,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,0.68413264,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,0.55919886,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,0.5602846,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,0.41749623,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,0.6945857,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,0.6061711,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,0.6984122,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,0.74061596,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,0.6942911,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,0.5974752,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,0.52960515,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,0.5656911,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,0.42221564,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,0.4534842,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,0.5380678,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,0.5144684,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,0.74815154,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,0.7494962,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,0.72698885,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,0.54247934,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,0.7192012,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,0.7278219,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.7238166,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,0.8096372,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,0.57998663,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,0.70564055,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,0.4587567,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,0.5427289,HSf3,year,hot_spell_frequency,,7
08235_Calw,0.36222696,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,0.57755953,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,0.3114653,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.43717638,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,0.5501642,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.36953217,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,0.54896116,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,0.5808464,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,0.33634788,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.23162398,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,0.28049535,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,0.4878101,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,0.48207304,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,0.41085342,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,0.2952878,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,0.5312196,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,0.28787604,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,0.40870404,HSf3,year,hot_spell_frequency,,7
08421_Ulm,0.4595901,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,0.3770618,HSf3,year,hot_spell_frequency,,7
08426_Biberach,0.40071812,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,0.40035936,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,0.34794074,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,0.32500285,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.59549826,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,0.67236453,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,0.49844545,HSf3,year,hot_spell_frequency,,7
09162_München,0.5614961,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,0.38322085,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,0.4812276,HSf3,year,hot_spell_frequency,,7
09171_Altötting,0.6360172,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,0.17983788,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.17821427,HSf3,year,hot_spell_frequency,,7
09174_Dachau,0.5461945,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,0.47863913,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,0.5752246,HSf3,year,hot_spell_frequency,,7
09177_Erding,0.5590646,HSf3,year,hot_spell_frequency,,7
09178_Freising,0.5917848,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,0.45477134,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.07216561,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,0.34710896,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,0.13594805,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,0.5813077,HSf3,year,hot_spell_frequency,,7
09184_München,0.45414838,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,0.61322916,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,0.59676546,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,0.3805038,HSf3,year,hot_spell_frequency,,7
09188_Starnberg,0.35244572,HSf3,year,hot_spell_frequency,,7
09189_Traunstein,0.33386508,HSf3,year,hot_spell_frequency,,7
09190_Weilheim-Schongau,0.25405172,HSf3,year,hot_spell_frequency,,7
