region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05774_Paderborn,0.1751941293478012,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.2988216280937195,HSf3,year,hot_spell_frequency,,7
05911_Bochum,0.3001142740249634,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.27752551436424255,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,0.29848259687423706,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.1884293258190155,HSf3,year,hot_spell_frequency,,7
05914_Hagen,0.16125229001045227,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.23524820804595947,HSf3,year,hot_spell_frequency,,7
05915_Hamm,0.24154767394065857,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,0.3265339434146881,HSf3,year,hot_spell_frequency,,7
05916_Herne,0.36670878529548645,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.19595934450626373,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,0.0892951563000679,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,0.13045066595077515,HSf3,year,hot_spell_frequency,,7
05966_Olpe,0.14057064056396484,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,0.14105819165706635,HSf3,year,hot_spell_frequency,,7
05974_Soest,0.1719600260257721,HSf3,year,hot_spell_frequency,,7
05978_Unna,0.26101765036582947,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,0.5060992240905762,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,0.5602518320083618,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.4486425518989563,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,0.6348742246627808,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.44418764114379883,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,0.6801025867462158,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.438356876373291,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,0.44404393434524536,HSf3,year,hot_spell_frequency,,7
