region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07233_Vulkaneifel,0.9609532952308655,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,1.3887542486190796,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),2.3902907371520996,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),2.464108467102051,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,1.977213978767395,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,1.8906346559524536,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,2.0604748725891113,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,2.022796154022217,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,2.3963937759399414,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,2.3607337474823,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,2.1619300842285156,HSf3,year,hot_spell_frequency,,7
07315_Mainz,2.186751365661621,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,2.042850971221924,HSf3,year,hot_spell_frequency,,7
07316_Neustadt an der Weinstraße,1.9795002937316895,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,1.9512908458709717,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,1.8806041479110718,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,2.1808202266693115,HSf3,year,hot_spell_frequency,,7
07318_Speyer,2.3015055656433105,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,2.1637520790100098,HSf3,year,hot_spell_frequency,,7
07319_Worms,2.411019802093506,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,1.955230951309204,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,1.9910271167755127,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,2.2149758338928223,HSf3,year,hot_spell_frequency,,7
