region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08235_Calw,1.4675750732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,0.9249420166015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,1.9070587158203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,1.9954681396484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,2.1824951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,2.0731658935546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,1.9696807861328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,1.234649658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,1.2454681396484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,0.486236572265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,0.681549072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,2.91693115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,1.423492431640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,1.1157989501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,0.5814208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,1.31536865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,-0.2058868408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,1.0688323974609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,1.448822021484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,0.65093994140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,1.185516357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,0.8823699951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,-0.5493927001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,0.5417022705078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,0.2414703369140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,0.4858551025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,1.21917724609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,1.2749786376953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,0.715911865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,1.0284576416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,0.2732391357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,0.815399169921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,0.662445068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,0.65069580078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,0.752166748046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,0.679412841796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,1.061431884765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,0.6727752685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,0.7462005615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,0.1544647216796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,0.3383331298828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,1.187347412109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,0.7352752685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,1.2289886474609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,0.4914093017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,0.2230377197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,0.9913787841796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,0.3927001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,0.93402099609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,1.6324462890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,0.21856689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,0.3802642822265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,1.0782318115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,2.16168212890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,0.39324951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,0.5095672607421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,0.427734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,0.7834014892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,0.3129730224609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,1.103271484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,0.822174072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,1.6073455810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,1.10760498046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,1.3000030517578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,0.001068115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
