region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06438_Offenbach,11.505325317382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,11.890335083007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
06440_Wetteraukreis,11.057449340820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
06531_Gießen,11.992218017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06532_Lahn-Dill-Kreis,12.758346557617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
06533_Limburg-Weilburg,12.12744140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06534_Marburg-Biedenkopf,13.158157348632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
06535_Vogelsbergkreis,11.967498779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06611_Kassel,14.122695922851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
06631_Fulda,13.116607666015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06632_Hersfeld-Rotenburg,13.158889770507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
06633_Kassel,13.379776000976562,DD,year,days_with_precipitation_amount_below_threshold,days,7
06634_Schwalm-Eder-Kreis,13.193145751953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06635_Waldeck-Frankenberg,13.385879516601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
06636_Werra-Meißner-Kreis,13.594680786132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
07111_Koblenz,13.997970581054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
07131_Ahrweiler,15.661819458007812,DD,year,days_with_precipitation_amount_below_threshold,days,7
07132_Altenkirchen (Westerwald),12.501388549804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
07133_Bad Kreuznach,14.92724609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07134_Birkenfeld,16.497329711914062,DD,year,days_with_precipitation_amount_below_threshold,days,7
07135_Cochem-Zell,16.991851806640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07137_Mayen-Koblenz,15.587921142578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07138_Neuwied,13.076431274414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,15.7882080078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07141_Rhein-Lahn-Kreis,13.772979736328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07143_Westerwaldkreis,12.533050537109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07211_Trier,17.927536010742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
07231_Bernkastel-Wittlich,17.773422241210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,16.194534301757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
07233_Vulkaneifel,17.499237060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07235_Trier-Saarburg,17.63531494140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07311_Frankenthal (Pfalz),11.463851928710938,DD,year,days_with_precipitation_amount_below_threshold,days,7
07312_Kaiserslautern,15.165420532226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
07313_Landau in der Pfalz,13.967376708984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07314_Ludwigshafen am Rhein,11.60321044921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07315_Mainz,11.000808715820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
07316_Neustadt an der Weinstraße,13.048416137695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
07317_Pirmasens,15.248092651367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
07318_Speyer,12.450897216796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07319_Worms,11.254302978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07320_Zweibrücken,16.430984497070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,12.62060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,12.948333740234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,14.03448486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,14.198013305664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,15.7001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07336_Kusel,16.542648315429688,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,13.891754150390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,11.904052734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,12.286239624023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,15.075637817382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,13.814529418945312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,14.23663330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,14.987350463867188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,13.853424072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,14.404525756835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,13.065628051757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,14.895858764648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,14.649612426757812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,13.950332641601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,12.795578002929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,12.822998046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,12.39373779296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,12.032684326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,17.086990356445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,15.510116577148438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,14.965301513671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,16.801834106445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,13.495712280273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,11.800979614257812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,13.763671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,13.665206909179688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,15.416839599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,15.646865844726562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,15.342208862304688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,15.384841918945312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,18.2301025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,17.24298095703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,17.671798706054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,16.081878662109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,16.109878540039062,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,15.518875122070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,14.154525756835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,13.979522705078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,18.244125366210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,15.077178955078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,15.600250244140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,15.716094970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,16.530258178710938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,12.562545776367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,13.110671997070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,14.785110473632812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,12.990219116210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,14.353286743164062,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,14.855377197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,10.62664794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,14.88494873046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
