region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07336_Kusel,-7.12786865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,-6.961212158203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-8.428939819335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,-7.7245635986328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,-6.8687286376953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,-7.4020233154296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,-7.4411163330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,-7.47332763671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,-6.5446014404296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,-8.210311889648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,-6.554534912109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,-9.064697265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,-7.55206298828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,-7.110870361328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,-5.322845458984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,-7.140899658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,-6.0218658447265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,-5.793731689453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,-6.6822052001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,-8.700119018554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,-8.398727416992188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,-7.3351593017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,-7.6343231201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,-9.382308959960938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-8.655731201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-8.182907104492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,-8.673233032226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,-6.7397003173828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,-8.091278076171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,-6.48919677734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,-9.16778564453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-7.078857421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,-8.450149536132812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,-7.965362548828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,-5.2154388427734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-5.452178955078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,-6.09173583984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,-8.171661376953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,-9.168624877929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,-7.216644287109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,-6.688690185546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,-7.1128387451171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,-7.1511383056640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,-8.02728271484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,-7.0992584228515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,-8.518844604492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,-8.954940795898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,-8.152114868164062,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,-7.74652099609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,-7.07122802734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,-6.54730224609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,-7.95501708984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,-6.5685882568359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,-8.277206420898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-6.2095489501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,-6.7186737060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,-5.5396575927734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,-6.922698974609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,-5.8688201904296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,-6.7657318115234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,-6.4484405517578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,-6.802215576171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,-7.589599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,-7.158843994140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,-5.413299560546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,-5.973846435546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-6.901031494140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-6.5987396240234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
