region,DD_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09377_Tirschenreuth,-10.746200561523438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,-11.210235595703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,-11.25250244140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,-11.818939208984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,-11.48101806640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,-10.631088256835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,-11.594589233398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,-10.427078247070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,-12.401611328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,-10.573760986328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,-10.836074829101562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,-10.921493530273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,-10.62322998046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-10.001358032226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,-10.230316162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,-11.551788330078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,-9.931808471679688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,-11.49066162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,-10.966384887695312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,-9.222702026367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,-10.698379516601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,-10.076614379882812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,-11.981903076171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-9.606781005859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,-10.5272216796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-10.166976928710938,DD,year,days_with_precipitation_amount_below_threshold,days,7
