region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06432_Darmstadt-Dieburg,0.2714878,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,0.3406031,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,0.46236104,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,0.288874,DSx5,year,dry_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.40793607,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,0.36543977,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,0.27644503,DSx5,year,dry_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.3028319,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,0.32638282,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,0.41437584,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,0.37654436,DSx5,year,dry_spell_duration,days,7
06531_Gießen,0.41016957,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,0.569899,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,0.45031184,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,0.4013516,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,0.2102738,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,0.11178144,DSx5,year,dry_spell_duration,days,7
06611_Kassel,0.16345629,DSx5,year,dry_spell_duration,days,7
06631_Fulda,0.15076002,DSx5,year,dry_spell_duration,days,7
06632_Hersfeld-Rotenburg,0.039983984,DSx5,year,dry_spell_duration,days,7
06633_Kassel,0.16500281,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,0.1840208,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,0.3554658,DSx5,year,dry_spell_duration,days,7
