region,ci_name,ci_frequency,standard_name,units,mid_month,DSx5_year_2C_rcp85_ensemble-robustness
06611_Kassel,DSx5,year,dry_spell_duration,days,7,
06631_Fulda,DSx5,year,dry_spell_duration,days,7,
06632_Hersfeld-Rotenburg,DSx5,year,dry_spell_duration,days,7,
06633_Kassel,DSx5,year,dry_spell_duration,days,7,
06634_Schwalm-Eder-Kreis,DSx5,year,dry_spell_duration,days,7,
06635_Waldeck-Frankenberg,DSx5,year,dry_spell_duration,days,7,
06636_Werra-Meißner-Kreis,DSx5,year,dry_spell_duration,days,7,
07111_07137_07141_07143_Region_um_Koblenz,DSx5,year,dry_spell_duration,days,7,
07111_Koblenz,DSx5,year,dry_spell_duration,days,7,
07131_Ahrweiler,DSx5,year,dry_spell_duration,days,7,
07132_Altenkirchen (Westerwald),DSx5,year,dry_spell_duration,days,7,
07133_Bad Kreuznach,DSx5,year,dry_spell_duration,days,7,
07134_Birkenfeld,DSx5,year,dry_spell_duration,days,7,
07135_Cochem-Zell,DSx5,year,dry_spell_duration,days,7,
07137_Mayen-Koblenz,DSx5,year,dry_spell_duration,days,7,
07138_Neuwied,DSx5,year,dry_spell_duration,days,7,
07140_Rhein-Hunsrück-Kreis,DSx5,year,dry_spell_duration,days,7,
07141_Rhein-Lahn-Kreis,DSx5,year,dry_spell_duration,days,7,
07143_Westerwaldkreis,DSx5,year,dry_spell_duration,days,7,
07211_07235_Region_um_Trier,DSx5,year,dry_spell_duration,days,7,
07211_Trier,DSx5,year,dry_spell_duration,days,7,
07231_Bernkastel-Wittlich,DSx5,year,dry_spell_duration,days,7,
07232_Eifelkreis Bitburg-Prüm,DSx5,year,dry_spell_duration,days,7,
07233_Vulkaneifel,DSx5,year,dry_spell_duration,days,7,
07235_Trier-Saarburg,DSx5,year,dry_spell_duration,days,7,
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),DSx5,year,dry_spell_duration,days,7,
07311_Frankenthal (Pfalz),DSx5,year,dry_spell_duration,days,7,
07312_07335_07332_Region_um_Kaiserslautern,DSx5,year,dry_spell_duration,days,7,
07312_Kaiserslautern,DSx5,year,dry_spell_duration,days,7,
07313_07337_Region_um_Landau_in_der_Pfalz,DSx5,year,dry_spell_duration,days,7,
07313_Landau in der Pfalz,DSx5,year,dry_spell_duration,days,7,
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,DSx5,year,dry_spell_duration,days,7,
07314_Ludwigshafen am Rhein,DSx5,year,dry_spell_duration,days,7,
07315_07339_06414_06433_Region_um_Mainz,DSx5,year,dry_spell_duration,days,7,
07315_Mainz,DSx5,year,dry_spell_duration,days,7,
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,DSx5,year,dry_spell_duration,days,7,
07316_Neustadt an der Weinstraße,DSx5,year,dry_spell_duration,days,7,
07317_07340_Region_um_Pirmasens,DSx5,year,dry_spell_duration,days,7,
07317_Pirmasens,DSx5,year,dry_spell_duration,days,7,
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,DSx5,year,dry_spell_duration,days,7,
07318_Speyer,DSx5,year,dry_spell_duration,days,7,
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,DSx5,year,dry_spell_duration,days,7,
07319_Worms,DSx5,year,dry_spell_duration,days,7,
07320_07340_10045_07317_Region_um_Zweibrücken,DSx5,year,dry_spell_duration,days,7,
07320_Zweibrücken,DSx5,year,dry_spell_duration,days,7,1.0
07331_Alzey-Worms,DSx5,year,dry_spell_duration,days,7,
07332_Bad Dürkheim,DSx5,year,dry_spell_duration,days,7,
07333_Donnersbergkreis,DSx5,year,dry_spell_duration,days,7,
07334_Germersheim,DSx5,year,dry_spell_duration,days,7,
07335_Kaiserslautern,DSx5,year,dry_spell_duration,days,7,
07336_Kusel,DSx5,year,dry_spell_duration,days,7,
07337_Südliche Weinstraße,DSx5,year,dry_spell_duration,days,7,
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,DSx5,year,dry_spell_duration,days,7,
07338_Rhein-Pfalz-Kreis,DSx5,year,dry_spell_duration,days,7,
07339_Mainz-Bingen,DSx5,year,dry_spell_duration,days,7,
07340_Südwestpfalz,DSx5,year,dry_spell_duration,days,7,
08111_08115_08116_08118_08119_Region_um_Stuttgart,DSx5,year,dry_spell_duration,days,7,
08111_Stuttgart,DSx5,year,dry_spell_duration,days,7,
08115_Böblingen,DSx5,year,dry_spell_duration,days,7,
08116_Esslingen,DSx5,year,dry_spell_duration,days,7,
08117_Göppingen,DSx5,year,dry_spell_duration,days,7,
08118_Ludwigsburg,DSx5,year,dry_spell_duration,days,7,
08119_Rems-Murr-Kreis,DSx5,year,dry_spell_duration,days,7,
08121_08125_Region_um_Heilbronn,DSx5,year,dry_spell_duration,days,7,
08121_Heilbronn,DSx5,year,dry_spell_duration,days,7,
08125_Heilbronn,DSx5,year,dry_spell_duration,days,7,
08126_Hohenlohekreis,DSx5,year,dry_spell_duration,days,7,
08127_Schwäbisch Hall,DSx5,year,dry_spell_duration,days,7,
08128_Main-Tauber-Kreis,DSx5,year,dry_spell_duration,days,7,
08135_Heidenheim,DSx5,year,dry_spell_duration,days,7,
08136_Ostalbkreis,DSx5,year,dry_spell_duration,days,7,
08211_08216_Region_um_Baden-Baden,DSx5,year,dry_spell_duration,days,7,
08211_Baden-Baden,DSx5,year,dry_spell_duration,days,7,
08212_08215_07334_Region_um_Karlsruhe,DSx5,year,dry_spell_duration,days,7,
08212_Karlsruhe,DSx5,year,dry_spell_duration,days,7,
08215_Karlsruhe,DSx5,year,dry_spell_duration,days,7,
08216_Rastatt,DSx5,year,dry_spell_duration,days,7,
08221_08226_08222_Region_um_Heidelberg,DSx5,year,dry_spell_duration,days,7,
08221_Heidelberg,DSx5,year,dry_spell_duration,days,7,
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,DSx5,year,dry_spell_duration,days,7,
08222_Mannheim,DSx5,year,dry_spell_duration,days,7,
08225_Neckar-Odenwald-Kreis,DSx5,year,dry_spell_duration,days,7,
08226_Rhein-Neckar-Kreis,DSx5,year,dry_spell_duration,days,7,
08231_08236_08235_Region_um_Pforzheim,DSx5,year,dry_spell_duration,days,7,
08231_Pforzheim,DSx5,year,dry_spell_duration,days,7,
08235_Calw,DSx5,year,dry_spell_duration,days,7,
08236_Enzkreis,DSx5,year,dry_spell_duration,days,7,
08237_Freudenstadt,DSx5,year,dry_spell_duration,days,7,
08311_08316_08315_Region_um_Freiburg_im_Breisgau,DSx5,year,dry_spell_duration,days,7,
08311_Freiburg im Breisgau,DSx5,year,dry_spell_duration,days,7,
08315_Breisgau-Hochschwarzwald,DSx5,year,dry_spell_duration,days,7,
08316_Emmendingen,DSx5,year,dry_spell_duration,days,7,
08317_Ortenaukreis,DSx5,year,dry_spell_duration,days,7,
08325_Rottweil,DSx5,year,dry_spell_duration,days,7,
08326_Schwarzwald-Baar-Kreis,DSx5,year,dry_spell_duration,days,7,
