region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05762_Höxter,-0.0169677734375,DSx5,year,dry_spell_duration,days,7
05766_Lippe,-0.007210731506347656,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,0.020843505859375,DSx5,year,dry_spell_duration,days,7
05774_Paderborn,-0.07410144805908203,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.02684307098388672,DSx5,year,dry_spell_duration,days,7
05911_Bochum,0.017425537109375,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.019626617431640625,DSx5,year,dry_spell_duration,days,7
05913_Dortmund,0.019540786743164062,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.06228065490722656,DSx5,year,dry_spell_duration,days,7
05914_Hagen,0.06428813934326172,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.09338760375976562,DSx5,year,dry_spell_duration,days,7
05915_Hamm,-0.06450366973876953,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,-0.11134624481201172,DSx5,year,dry_spell_duration,days,7
05916_Herne,-0.1588592529296875,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,0.1090250015258789,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,0.09642314910888672,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,0.0031023025512695312,DSx5,year,dry_spell_duration,days,7
05966_Olpe,-0.027835845947265625,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,-0.10626983642578125,DSx5,year,dry_spell_duration,days,7
05974_Soest,-0.04324531555175781,DSx5,year,dry_spell_duration,days,7
05978_Unna,9.632110595703125e-05,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,-0.0494537353515625,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,-0.014871597290039062,DSx5,year,dry_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.13791656494140625,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,0.2947540283203125,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.1764965057373047,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,0.2867259979248047,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.08410835266113281,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,0.09076881408691406,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,-0.19867706298828125,DSx5,year,dry_spell_duration,days,7
06432_Darmstadt-Dieburg,-0.06467533111572266,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,0.05957794189453125,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,0.026372909545898438,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,0.054465293884277344,DSx5,year,dry_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.1345672607421875,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,0.08807086944580078,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,-0.0051116943359375,DSx5,year,dry_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.09703445434570312,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,0.08758926391601562,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,0.04274177551269531,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,0.19952011108398438,DSx5,year,dry_spell_duration,days,7
06531_Gießen,0.23695945739746094,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,0.2515449523925781,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,0.23566436767578125,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,0.12528419494628906,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,-0.016193389892578125,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,0.016611099243164062,DSx5,year,dry_spell_duration,days,7
06611_Kassel,0.2772665023803711,DSx5,year,dry_spell_duration,days,7
06631_Fulda,0.025750160217285156,DSx5,year,dry_spell_duration,days,7
06632_Hersfeld-Rotenburg,0.05653858184814453,DSx5,year,dry_spell_duration,days,7
06633_Kassel,0.05181407928466797,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,0.025278091430664062,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,0.06164360046386719,DSx5,year,dry_spell_duration,days,7
06636_Werra-Meißner-Kreis,-0.015171051025390625,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,0.1306324005126953,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,0.2385110855102539,DSx5,year,dry_spell_duration,days,7
07131_Ahrweiler,0.07620716094970703,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),0.11200904846191406,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,0.023729324340820312,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,0.15984535217285156,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,0.2849903106689453,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,0.13238906860351562,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,0.1341228485107422,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,0.1349925994873047,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,0.15375900268554688,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,0.19529342651367188,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,0.26309776306152344,DSx5,year,dry_spell_duration,days,7
07211_Trier,0.1336832046508789,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,0.24364852905273438,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,0.25849151611328125,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,0.23397445678710938,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,0.28638172149658203,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-0.039947509765625,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),-0.0930938720703125,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,0.06514167785644531,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,-0.035434722900390625,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.17330169677734375,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,0.24443531036376953,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-0.0504150390625,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,-0.09050750732421875,DSx5,year,dry_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,0.1397380828857422,DSx5,year,dry_spell_duration,days,7
07315_Mainz,0.21678638458251953,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.11525535583496094,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,0.10380172729492188,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,0.11220645904541016,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,0.05872535705566406,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.1590251922607422,DSx5,year,dry_spell_duration,days,7
07318_Speyer,0.11232566833496094,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,-0.12051773071289062,DSx5,year,dry_spell_duration,days,7
07319_Worms,0.03362751007080078,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.11388206481933594,DSx5,year,dry_spell_duration,days,7
