region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,1.748159408569336,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,1.470545768737793,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,1.6054034233093262,DSx5,year,dry_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,1.4959559440612793,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,1.767256259918213,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,1.8016786575317383,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,1.519120216369629,DSx5,year,dry_spell_duration,days,7
06531_Gießen,2.040426731109619,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,2.1758151054382324,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,2.1775622367858887,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,2.353464126586914,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,1.8395137786865234,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,1.6515884399414062,DSx5,year,dry_spell_duration,days,7
06611_Kassel,2.001199722290039,DSx5,year,dry_spell_duration,days,7
06631_Fulda,1.9956245422363281,DSx5,year,dry_spell_duration,days,7
06632_Hersfeld-Rotenburg,2.042141914367676,DSx5,year,dry_spell_duration,days,7
06633_Kassel,1.5971364974975586,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,2.025294780731201,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,2.3636832237243652,DSx5,year,dry_spell_duration,days,7
06636_Werra-Meißner-Kreis,1.861246109008789,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,1.957524299621582,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,1.7914552688598633,DSx5,year,dry_spell_duration,days,7
07131_Ahrweiler,1.8347558975219727,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),2.036440849304199,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,1.7986626625061035,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,1.9763822555541992,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,2.4647512435913086,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,2.027376651763916,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,1.8864679336547852,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,2.2342300415039062,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,1.8998684883117676,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,1.994356632232666,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,2.23756742477417,DSx5,year,dry_spell_duration,days,7
07211_Trier,2.481346607208252,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,2.3136143684387207,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,2.1270108222961426,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,2.391735553741455,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,2.204379081726074,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.7018814086914062,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),1.8440704345703125,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,2.0826239585876465,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,2.3292102813720703,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,1.5621962547302246,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,1.5054197311401367,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,1.7286796569824219,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,1.8909168243408203,DSx5,year,dry_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,1.6022281646728516,DSx5,year,dry_spell_duration,days,7
07315_Mainz,1.5598397254943848,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,1.823195457458496,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,1.6278834342956543,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,2.1378679275512695,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,2.00001859664917,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,1.652207851409912,DSx5,year,dry_spell_duration,days,7
07318_Speyer,1.371011734008789,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,1.91090726852417,DSx5,year,dry_spell_duration,days,7
07319_Worms,2.077455997467041,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,2.1568384170532227,DSx5,year,dry_spell_duration,days,7
07320_Zweibrücken,2.1687116622924805,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,1.7238683700561523,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,1.7687864303588867,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,2.1477465629577637,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,1.5908279418945312,DSx5,year,dry_spell_duration,days,7
