region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07131_Ahrweiler,-1.4108705520629883,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),-1.5138626098632812,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,-1.9170608520507812,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,-2.454340934753418,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,-1.5432043075561523,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,-1.6163349151611328,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,-2.0107059478759766,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,-1.7645158767700195,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,-2.027711868286133,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,-1.4497499465942383,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,-2.2996625900268555,DSx5,year,dry_spell_duration,days,7
07211_Trier,-2.0736751556396484,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,-1.5928888320922852,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,-2.1495351791381836,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,-2.254241943359375,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,-2.3252010345458984,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-2.035249710083008,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),-2.072267532348633,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,-2.114107131958008,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,-2.6114587783813477,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,-1.8136844635009766,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,-1.8064556121826172,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-2.0230255126953125,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,-1.9952888488769531,DSx5,year,dry_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,-1.830718994140625,DSx5,year,dry_spell_duration,days,7
