region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08437_Sigmaringen,-1.7632484436035156,DSx5,year,dry_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,-1.3881397247314453,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,-1.8522443771362305,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,-1.1067476272583008,DSx5,year,dry_spell_duration,days,7
09162_München,-1.5003118515014648,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,-2.30648136138916,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,-3.07757568359375,DSx5,year,dry_spell_duration,days,7
09171_Altötting,-2.6448240280151367,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,-1.4436931610107422,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,-1.2718591690063477,DSx5,year,dry_spell_duration,days,7
09174_Dachau,-1.552520751953125,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,-1.2736730575561523,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,-1.483281135559082,DSx5,year,dry_spell_duration,days,7
09177_Erding,-2.0367517471313477,DSx5,year,dry_spell_duration,days,7
09178_Freising,-1.5505390167236328,DSx5,year,dry_spell_duration,days,7
09179_Fürstenfeldbruck,-1.4922914505004883,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,-1.74188232421875,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,-1.3824806213378906,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,-1.1165895462036133,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,-2.446871757507324,DSx5,year,dry_spell_duration,days,7
09184_München,-1.402297019958496,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,-1.252603530883789,DSx5,year,dry_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,-1.5218324661254883,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,-2.285104751586914,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,-1.4489030838012695,DSx5,year,dry_spell_duration,days,7
