region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05774_Paderborn,8.56624984741211,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,7.999685287475586,DSx5,year,dry_spell_duration,days,7
05911_Bochum,6.7904052734375,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,8.13520622253418,DSx5,year,dry_spell_duration,days,7
05913_Dortmund,7.925844192504883,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,7.379827499389648,DSx5,year,dry_spell_duration,days,7
05914_Hagen,7.308311462402344,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,9.026046752929688,DSx5,year,dry_spell_duration,days,7
05915_Hamm,8.855875015258789,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,8.451669692993164,DSx5,year,dry_spell_duration,days,7
05916_Herne,7.531343460083008,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,7.17296028137207,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,9.037883758544922,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,8.25860595703125,DSx5,year,dry_spell_duration,days,7
05966_Olpe,7.205720901489258,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,8.172143936157227,DSx5,year,dry_spell_duration,days,7
05974_Soest,8.517168045043945,DSx5,year,dry_spell_duration,days,7
05978_Unna,8.804588317871094,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,8.956451416015625,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,9.045154571533203,DSx5,year,dry_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,9.802169799804688,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,11.059688568115234,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,8.981672286987305,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,11.29985237121582,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,11.950057983398438,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,15.234695434570312,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,8.61347770690918,DSx5,year,dry_spell_duration,days,7
06432_Darmstadt-Dieburg,8.376014709472656,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,10.66989517211914,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,11.952075958251953,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,8.271917343139648,DSx5,year,dry_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,11.923242568969727,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,12.29342269897461,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,9.168643951416016,DSx5,year,dry_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,9.078935623168945,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,10.047708511352539,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,11.917274475097656,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,9.540346145629883,DSx5,year,dry_spell_duration,days,7
06531_Gießen,7.179481506347656,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,8.685293197631836,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,11.302200317382812,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,6.9504241943359375,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,6.284746170043945,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,7.687137603759766,DSx5,year,dry_spell_duration,days,7
06611_Kassel,9.175102233886719,DSx5,year,dry_spell_duration,days,7
06631_Fulda,7.3336181640625,DSx5,year,dry_spell_duration,days,7
