region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,4.667884826660156,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,4.885772705078125,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,5.217401504516602,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,3.532777786254883,DSx5,year,dry_spell_duration,days,7
06531_Gießen,2.8881187438964844,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,4.3964385986328125,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,4.515600204467773,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,3.4532089233398438,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,3.4834938049316406,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,5.712644577026367,DSx5,year,dry_spell_duration,days,7
06611_Kassel,6.294849395751953,DSx5,year,dry_spell_duration,days,7
06631_Fulda,4.360221862792969,DSx5,year,dry_spell_duration,days,7
06632_Hersfeld-Rotenburg,4.534440994262695,DSx5,year,dry_spell_duration,days,7
06633_Kassel,5.57244873046875,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,4.95439338684082,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,4.399648666381836,DSx5,year,dry_spell_duration,days,7
06636_Werra-Meißner-Kreis,6.279430389404297,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,5.642927169799805,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,6.8967742919921875,DSx5,year,dry_spell_duration,days,7
07131_Ahrweiler,5.3087310791015625,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),3.440031051635742,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,6.297109603881836,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,5.669012069702148,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,5.544553756713867,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,5.813396453857422,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,5.363229751586914,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,5.711006164550781,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,6.465023040771484,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,4.7111358642578125,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,4.706718444824219,DSx5,year,dry_spell_duration,days,7
07211_Trier,4.5193328857421875,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,4.7287139892578125,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,4.26957893371582,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,4.78399658203125,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,4.72789192199707,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),5.734928131103516,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),6.052007675170898,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,5.238710403442383,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,4.900140762329102,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,5.003700256347656,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,4.820436477661133,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,5.761812210083008,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,5.9906768798828125,DSx5,year,dry_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,5.3462677001953125,DSx5,year,dry_spell_duration,days,7
07315_Mainz,6.558984756469727,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,5.055948257446289,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,5.349750518798828,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,4.977062225341797,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,5.149768829345703,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,4.714757919311523,DSx5,year,dry_spell_duration,days,7
07318_Speyer,5.34370231628418,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,5.43988037109375,DSx5,year,dry_spell_duration,days,7
07319_Worms,4.659524917602539,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,4.900371551513672,DSx5,year,dry_spell_duration,days,7
07320_Zweibrücken,4.3631439208984375,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,5.225040435791016,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,5.064672470092773,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,5.260793685913086,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,5.11572265625,DSx5,year,dry_spell_duration,days,7
07335_Kaiserslautern,5.48487663269043,DSx5,year,dry_spell_duration,days,7
07336_Kusel,6.5319061279296875,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,5.029945373535156,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,4.881498336791992,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,5.706697463989258,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,5.773763656616211,DSx5,year,dry_spell_duration,days,7
07340_Südwestpfalz,4.965078353881836,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,3.3164005279541016,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,3.6407527923583984,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,4.014848709106445,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,2.9358463287353516,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,3.306303024291992,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,4.128206253051758,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,3.0936355590820312,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,4.544078826904297,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,4.867998123168945,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,4.512451171875,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,4.851005554199219,DSx5,year,dry_spell_duration,days,7
08127_Schwäbisch Hall,4.564506530761719,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,5.48314094543457,DSx5,year,dry_spell_duration,days,7
08135_Heidenheim,4.042392730712891,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,3.4908409118652344,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,4.087955474853516,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,4.263591766357422,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,4.225015640258789,DSx5,year,dry_spell_duration,days,7
08212_Karlsruhe,4.094989776611328,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,3.869457244873047,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,4.055122375488281,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,5.259496688842773,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,5.017448425292969,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,5.523260116577148,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,5.662921905517578,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,5.789894104003906,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,5.228046417236328,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,3.5995254516601562,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,3.932657241821289,DSx5,year,dry_spell_duration,days,7
08235_Calw,3.8258934020996094,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,3.6855602264404297,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,3.136373519897461,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,3.239217758178711,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,3.1318206787109375,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,3.3686370849609375,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,3.0327606201171875,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,3.4560909271240234,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,3.360797882080078,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,3.985818862915039,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,4.3409576416015625,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,3.904787063598633,DSx5,year,dry_spell_duration,days,7
