region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05978_Unna,0.511505126953125,FD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-1.8672294616699219,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-1.0544395446777344,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-0.6406898498535156,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-1.6307258605957031,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-2.7225723266601562,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-2.08135986328125,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-1.0006294250488281,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-1.8293991088867188,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-3.131175994873047,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-2.1083412170410156,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-4.258106231689453,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-0.9716796875,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-2.6602096557617188,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-1.9461746215820312,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-1.843017578125,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-3.3102149963378906,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-2.7122573852539062,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-2.8597755432128906,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-4.723712921142578,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-2.1831512451171875,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-5.49725341796875,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-3.4102096557617188,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-2.4843788146972656,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-3.460498809814453,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-4.256725311279297,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-2.9123611450195312,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-1.19207763671875,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-3.9365234375,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-2.99005126953125,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-2.960834503173828,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-5.464115142822266,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-3.430133819580078,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-2.7576217651367188,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-1.3309173583984375,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-3.6127548217773438,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-2.337249755859375,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-3.304676055908203,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-2.9904403686523438,FD,year,days_with_air_temperature_below_threshold,days,7
