region,ci_name,ci_frequency,standard_name,units,mid_month,FD_year_4C_rcp85_ensemble-robustness
08325_Rottweil,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08326_Schwarzwald-Baar-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08327_Tuttlingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08335_Konstanz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08336_Lörrach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08337_Waldshut,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08415_Reutlingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08416_Tübingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08417_Zollernalbkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08421_Ulm,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08425_Alb-Donau-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08426_Biberach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08435_Bodenseekreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08436_Ravensburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08437_Sigmaringen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09161_Ingolstadt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09162_München,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09163_Rosenheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09171_Altötting,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09172_Berchtesgadener Land,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09173_Bad Tölz-Wolfratshausen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09174_Dachau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09175_Ebersberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09176_Eichstätt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09177_Erding,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09178_Freising,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09179_Fürstenfeldbruck,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09180_Garmisch-Partenkirchen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09181_Landsberg am Lech,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09182_Miesbach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09183_Mühldorf a. Inn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09184_München,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09185_Neuburg-Schrobenhausen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09186_Pfaffenhofen a.d. Ilm,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09187_Rosenheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09188_Starnberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09189_Traunstein,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09190_Weilheim-Schongau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09261_Landshut,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09262_Passau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09263_Straubing,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09271_Deggendorf,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09272_Freyung-Grafenau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09273_Kelheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09274_Landshut,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09275_Passau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09276_Regen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09277_Rottal-Inn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09278_Straubing-Bogen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09279_Dingolfing-Landau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09361_Amberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09362_Regensburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09363_Weiden i.d. OPf.,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09371_Amberg-Sulzbach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09372_Cham,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09373_Neumarkt i.d. OPf.,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09374_Neustadt a.d. Waldnaab,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09375_Regensburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09376_Schwandorf,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09377_Tirschenreuth,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09461_Bamberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09462_Bayreuth,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09463_Coburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09464_Hof,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09471_Bamberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09472_Bayreuth,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09473_Coburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09474_Forchheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09475_Hof,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09476_Kronach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09477_Kulmbach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09478_Lichtenfels,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09479_Wunsiedel i. Fichtelgebirge,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09561_Ansbach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09562_Erlangen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09563_Fürth,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09564_Nürnberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09565_Schwabach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09571_Ansbach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09572_Erlangen-Höchstadt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09573_Fürth,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09574_Nürnberger Land,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09575_Neustadt a.d. Aisch-Bad Windsheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09576_Roth,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09577_Weißenburg-Gunzenhausen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09661_Aschaffenburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09662_Schweinfurt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09663_Würzburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09671_Aschaffenburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09672_Bad Kissingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09673_Rhön-Grabfeld,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09674_Haßberge,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09675_Kitzingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09676_Miltenberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09677_Main-Spessart,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09678_Schweinfurt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09679_Würzburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09761_Augsburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09762_Kaufbeuren,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09763_Kempten (Allgäu),FD,year,days_with_air_temperature_below_threshold,days,7,-2
09764_Memmingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09771_Aichach-Friedberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09772_Augsburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09773_Dillingen a.d. Donau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09774_Günzburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09775_Neu-Ulm,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09776_Lindau (Bodensee),FD,year,days_with_air_temperature_below_threshold,days,7,-2
09777_Ostallgäu,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09778_Unterallgäu,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09779_Donau-Ries,FD,year,days_with_air_temperature_below_threshold,days,7,-2
09780_Oberallgäu,FD,year,days_with_air_temperature_below_threshold,days,7,-2
10041_Regionalverband Saarbrücken,FD,year,days_with_air_temperature_below_threshold,days,7,-2
10042_Merzig-Wadern,FD,year,days_with_air_temperature_below_threshold,days,7,-2
10043_Neunkirchen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
10044_Saarlouis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
10045_Saarpfalz-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
10046_St. Wendel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
11000_Berlin,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12051_Brandenburg an der Havel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12052_Cottbus,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12053_Frankfurt (Oder),FD,year,days_with_air_temperature_below_threshold,days,7,-2
12054_Potsdam,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12060_Barnim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12061_Dahme-Spreewald,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12062_Elbe-Elster,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12063_Havelland,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12064_Märkisch-Oderland,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12065_Oberhavel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12066_Oberspreewald-Lausitz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12067_Oder-Spree,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12068_Ostprignitz-Ruppin,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12069_Potsdam-Mittelmark,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12070_Prignitz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12071_Spree-Neiße,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12072_Teltow-Fläming,FD,year,days_with_air_temperature_below_threshold,days,7,-2
12073_Uckermark,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13003_Rostock,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13004_Schwerin,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13072_Rostock,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13076_Ludwigslust-Parchim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13071_Mecklenburgische Seenplatte,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13073_Vorpommern-Rügen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13074_Nordwestmecklenburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
13075_Vorpommern-Greifswald,FD,year,days_with_air_temperature_below_threshold,days,7,-2
