region,FD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09175_Ebersberg,-67.65961456298828,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-69.92945861816406,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-68.48611450195312,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-68.50324249267578,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-68.48829650878906,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-75.97314453125,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-67.95703887939453,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-69.96076965332031,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-67.31886291503906,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-67.7061996459961,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-69.02787017822266,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-69.0846939086914,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-65.25288391113281,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-67.92814636230469,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-65.26766967773438,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-66.8211898803711,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-68.35138702392578,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-70.0964584350586,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-70.81703186035156,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-70.55642700195312,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-71.28670501708984,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-69.84575653076172,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-68.4487533569336,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-69.44857025146484,FD,year,days_with_air_temperature_below_threshold,days,7
