region,FD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08326_Schwarzwald-Baar-Kreis,-25.868284,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-26.407188,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-25.335007,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-24.236467,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-25.794044,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-25.355587,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-24.097467,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-25.389631,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-25.831701,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-25.893263,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-25.671232,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-22.902374,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-25.674856,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-26.222778,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-25.171906,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-24.49956,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-24.584785,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-25.394234,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-24.707273,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-25.155828,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-24.914062,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-25.232075,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-25.941303,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-25.313793,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-25.039658,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-24.948132,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-24.772808,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-25.230705,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-24.97637,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-25.383078,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-25.090506,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-25.198315,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-25.006718,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-25.172491,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-25.392561,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-24.978111,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-25.362356,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-25.258883,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-26.722446,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-26.239874,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-26.722034,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-26.404945,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-25.620773,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-25.39158,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-26.433018,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-26.651,FD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-25.714966,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-26.312244,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-25.5201,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-26.592638,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-25.95557,FD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-26.753733,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-26.64458,FD,year,days_with_air_temperature_below_threshold,days,7
