region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08415_Reutlingen,-29.142837524414062,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-28.337913513183594,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-29.260902404785156,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-30.334060668945312,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-29.812728881835938,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-29.443511962890625,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-29.497779846191406,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-29.454078674316406,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-29.550384521484375,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-29.70903778076172,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-30.616043090820312,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-28.3289794921875,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-31.319419860839844,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-32.198158264160156,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-28.2491455078125,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-30.167724609375,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-30.29625701904297,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-30.56810760498047,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-30.75452423095703,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-30.085960388183594,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-30.1929931640625,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-27.407180786132812,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-29.010360717773438,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-28.14965057373047,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-30.988327026367188,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-30.096817016601562,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-30.080482482910156,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-29.861785888671875,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-29.22679901123047,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-30.167678833007812,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-28.846450805664062,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-29.904571533203125,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-30.698936462402344,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-32.06128692626953,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-31.331993103027344,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-32.45103454589844,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-30.861419677734375,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-30.36126708984375,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-30.88665008544922,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-31.949142456054688,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-30.696067810058594,FD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-31.318618774414062,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-31.51654052734375,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-31.054832458496094,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-32.219879150390625,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-31.434585571289062,FD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-32.634132385253906,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-31.86144256591797,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-31.729248046875,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-31.903358459472656,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-31.882423400878906,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-31.417877197265625,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-31.748458862304688,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-31.976455688476562,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-31.146141052246094,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-32.51721954345703,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-32.25208282470703,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-30.676559448242188,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-31.212303161621094,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-32.21876525878906,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-32.06482696533203,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-32.085121154785156,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-31.241416931152344,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-32.28993225097656,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-32.17399597167969,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-31.88947296142578,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-31.785049438476562,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-31.800827026367188,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-31.187454223632812,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-31.13440704345703,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-31.24486541748047,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-31.60065460205078,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-31.917800903320312,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-30.971763610839844,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-31.55937957763672,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-32.02910614013672,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-31.38104248046875,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-31.73053741455078,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-31.738983154296875,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-29.106201171875,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-30.554367065429688,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-29.10205841064453,FD,year,days_with_air_temperature_below_threshold,days,7
