region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09277_Rottal-Inn,-17.713232,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-18.104347,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-17.505745,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-18.179482,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-17.653063,FD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-18.381197,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-18.215982,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-18.436558,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-18.028414,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-18.520187,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-17.841547,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-18.236177,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-18.829443,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-17.184464,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-18.316902,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-17.649351,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-18.893303,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-17.379873,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-18.439934,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-17.894306,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-17.72097,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-18.948185,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-18.69777,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-18.428114,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-17.793707,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-18.979198,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-17.174778,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-16.69729,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-16.421925,FD,year,days_with_air_temperature_below_threshold,days,7
