region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08135_Heidenheim,-17.992725372314453,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-17.205276489257812,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-15.466766357421875,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-13.985652923583984,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-14.806259155273438,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-15.458961486816406,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-15.662437438964844,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-14.430965423583984,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-17.5003662109375,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-16.0347900390625,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-16.07421875,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-17.436019897460938,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-16.12120819091797,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-17.56610107421875,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-15.161918640136719,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-17.161239624023438,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-16.124622344970703,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-15.906497955322266,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-18.48694610595703,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-18.677715301513672,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-18.729629516601562,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-18.29107666015625,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-18.155227661132812,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-17.85967254638672,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-17.802108764648438,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-16.70337677001953,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-18.222915649414062,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-18.278053283691406,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-18.283729553222656,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-18.689685821533203,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-16.35809326171875,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-18.579193115234375,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-18.59356689453125,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-18.02477264404297,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-17.990554809570312,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-17.967567443847656,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-17.551986694335938,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-17.383392333984375,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-18.04071044921875,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-18.197708129882812,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-18.342361450195312,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-18.113555908203125,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-18.387317657470703,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-18.07455825805664,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-18.09881591796875,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-18.028701782226562,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-18.302772521972656,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-17.98919677734375,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-17.841079711914062,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-18.497970581054688,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-18.0029296875,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-18.359161376953125,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-18.136611938476562,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-18.66197967529297,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-18.173477172851562,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-17.905380249023438,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-17.878265380859375,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-19.33013153076172,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-18.881961822509766,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-18.96771240234375,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-17.9334716796875,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-18.155067443847656,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-17.8638916015625,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-18.850624084472656,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-18.506454467773438,FD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-18.080997467041016,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-18.99774169921875,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-18.11457061767578,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-18.94107437133789,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-18.473922729492188,FD,year,days_with_air_temperature_below_threshold,days,7
