region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05766_Lippe,0.3947681,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,0.5390255,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,0.36397615,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.6671674,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,0.6218589,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.6266671,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,0.6538047,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.37302873,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,0.29895014,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.58601654,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,0.6690599,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_05513_05562_05911_Region_um_Herne,0.7984034,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,0.7928223,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,0.3301642,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,0.117772385,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,0.19275078,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,0.13943999,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,0.13731113,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,0.40513122,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,0.642104,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_06432_06438_Region_um_Darmstadt,1.2557044,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,1.3502564,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.9388417,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,1.4100833,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.9272422,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,1.5134116,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.95624304,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,0.97320944,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,1.1390945,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,1.1264336,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,1.5307837,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,0.61873424,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,0.687516,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.90442127,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,1.0771976,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,0.5601438,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,1.0118759,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,1.4715608,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,0.5121659,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,0.83050585,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,0.6721441,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,0.39218226,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,0.52330416,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,0.44847643,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,0.3487345,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_06633_03159_Region_um_Kassel,0.36705053,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,0.40757897,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,0.2796395,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,0.38860822,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,0.38533536,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,0.41497198,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,0.25509283,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,0.35601434,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_07137_07141_07143_Region_um_Koblenz,0.4262885,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,0.65161127,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,0.26845476,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),0.29401004,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,0.610018,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,0.24698004,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,0.33912364,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,0.4602844,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,0.5026145,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,0.31112832,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,0.49304032,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,0.32026193,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_07235_Region_um_Trier,0.371121,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,0.44322506,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,0.32948226,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,0.21272004,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,0.11434835,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,0.3629731,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.8193018,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),1.7926929,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_07335_07332_Region_um_Kaiserslautern,0.7240507,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,0.55681634,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,1.0321652,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,0.9928538,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,1.8171027,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,1.8299311,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_07339_06414_06433_Region_um_Mainz,1.2041312,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,1.2207719,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.9930521,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,1.0539874,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_07340_Region_um_Pirmasens,0.61422837,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,0.57056576,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,1.3951637,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,1.8512981,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,1.232498,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,1.5319153,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.6132643,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,0.59329885,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,1.1351758,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,0.93550146,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,0.6859571,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,1.6090966,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,0.5593593,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,0.5374605,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,1.0377934,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,1.313695,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,1.8025175,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,1.0377711,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,0.6172587,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.7279985,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,0.846299,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,0.5164642,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,0.6226111,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,0.3513984,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,1.0055124,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,0.7060902,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_08125_Region_um_Heilbronn,1.0986449,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,1.2499484,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,1.0838708,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
