region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07317_Pirmasens,3.9728190898895264,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,6.0674333572387695,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,6.893755912780762,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,5.4985761642456055,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,6.2794060707092285,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,4.090824127197266,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,4.111527442932129,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,5.415438652038574,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,4.760622978210449,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,4.398991107940674,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,6.399134635925293,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,4.049367427825928,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,3.963947296142578,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,4.9044694900512695,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,5.76666784286499,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,6.881952285766602,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,4.981130599975586,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,4.028567790985107,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,4.434655666351318,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,4.923224449157715,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,3.395063638687134,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,3.921661853790283,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,2.665916919708252,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,5.572849750518799,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,4.526794910430908,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_08125_Region_um_Heilbronn,5.6567182540893555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,5.86575984954834,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,5.63630485534668,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,4.76381254196167,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,3.533975601196289,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,4.652389049530029,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,2.5016567707061768,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,2.8005871772766113,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_08216_Region_um_Baden-Baden,4.193323612213135,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,3.980874538421631,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_08215_07334_Region_um_Karlsruhe,6.302824020385742,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,6.830996036529541,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
