region,SU35_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05362_Rhein-Erft-Kreis,0.4087315797805786,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,0.10521721839904785,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,0.391878604888916,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,0.06686945259571075,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,0.3381139039993286,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,0.3010558784008026,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.42987388372421265,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,0.7106960415840149,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.5094491839408875,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,0.6189374327659607,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_05566_05558_05570_Region_um_Münster,0.22990897297859192,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,0.2824285328388214,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,0.2612415552139282,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,0.27867236733436584,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,0.5457684993743896,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,0.25133711099624634,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,0.19825710356235504,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_05754_05758_05766_Region_um_Bielefeld,0.16680872440338135,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,0.23599572479724884,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,0.23854462802410126,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,0.20450006425380707,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,0.10691942274570465,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,0.1245245635509491,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,0.21157796680927277,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,0.13338211178779602,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.3706408739089966,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,0.36356958746910095,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.3352877199649811,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,0.4149858355522156,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.18822678923606873,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,0.11363882571458817,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.17398284375667572,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,0.36062195897102356,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_05513_05562_05911_Region_um_Herne,0.5099582672119141,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
