region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_4C_rcp85_ensemble-robustness
05758_Herford,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05762_Höxter,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05766_Lippe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05770_Minden-Lübbecke,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05774_Paderborn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05911_Bochum,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05913_Dortmund,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05914_05954_05913_05978_05962_Region_um_Hagen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05914_Hagen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05915_05978_05974_05570_05558_Region_um_Hamm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05915_Hamm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05916_05513_05562_05911_Region_um_Herne,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05916_Herne,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05954_Ennepe-Ruhr-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05958_Hochsauerlandkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05962_Märkischer Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05966_Olpe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05970_Siegen-Wittgenstein,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05974_Soest,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05978_Unna,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06411_06432_06438_Region_um_Darmstadt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06411_Darmstadt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06412_Frankfurt am Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06413_06438_06435_06412_Region_um_Offenbach_am_Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06413_Offenbach am Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06414_Wiesbaden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06431_Bergstraße,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06432_Darmstadt-Dieburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06433_Groß-Gerau,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06434_Hochtaunuskreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06435_Main-Kinzig-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06436_Main-Taunus-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06437_Odenwaldkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
06438_Offenbach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
