region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_1.5C_rcp85_ensemble-robustness
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
06412_Frankfurt am Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06413_06438_06435_06412_Region_um_Offenbach_am_Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06413_Offenbach am Main,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06414_Wiesbaden,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06431_Bergstraße,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
06432_Darmstadt-Dieburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
06433_Groß-Gerau,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06434_Hochtaunuskreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06435_Main-Kinzig-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06436_Main-Taunus-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06437_Odenwaldkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06438_Offenbach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
06439_Rheingau-Taunus-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06440_Wetteraukreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06531_Gießen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06532_Lahn-Dill-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06533_Limburg-Weilburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06534_Marburg-Biedenkopf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06535_Vogelsbergkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06611_06633_03159_Region_um_Kassel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06611_Kassel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06631_Fulda,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06632_Hersfeld-Rotenburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06633_Kassel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06634_Schwalm-Eder-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06635_Waldeck-Frankenberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06636_Werra-Meißner-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07111_07137_07141_07143_Region_um_Koblenz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07111_Koblenz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07131_Ahrweiler,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07132_Altenkirchen (Westerwald),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07133_Bad Kreuznach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07134_Birkenfeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07135_Cochem-Zell,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07137_Mayen-Koblenz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07138_Neuwied,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07140_Rhein-Hunsrück-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07141_Rhein-Lahn-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07143_Westerwaldkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07211_07235_Region_um_Trier,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07211_Trier,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07231_Bernkastel-Wittlich,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07232_Eifelkreis Bitburg-Prüm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07233_Vulkaneifel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07235_Trier-Saarburg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07311_Frankenthal (Pfalz),SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07312_07335_07332_Region_um_Kaiserslautern,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07312_Kaiserslautern,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07313_07337_Region_um_Landau_in_der_Pfalz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07313_Landau in der Pfalz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07314_Ludwigshafen am Rhein,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07315_07339_06414_06433_Region_um_Mainz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07315_Mainz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07316_Neustadt an der Weinstraße,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07317_07340_Region_um_Pirmasens,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07317_Pirmasens,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07318_Speyer,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
