region,SU35_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05958_Hochsauerlandkreis,1.5716596,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,2.0960956,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,1.879268,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,1.9047759,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,2.9205732,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,3.9116151,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_06432_06438_Region_um_Darmstadt,7.8403454,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,8.268972,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,6.2362194,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,8.267849,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,6.1904936,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,8.743193,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,6.454762,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,6.5485806,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,7.509843,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,7.350252,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,9.022253,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,4.7834225,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
