region,LFD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09190_Weilheim-Schongau,-3.9051733,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-2.7939868,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-2.8445473,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-2.7392058,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-2.9384542,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-4.473817,LFD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-2.8775282,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-2.813027,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-2.9700723,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-4.449989,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-2.7369523,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-2.9259675,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-2.70351,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-3.3627598,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-2.6901963,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-3.5175846,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-3.3948393,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-3.6381598,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-3.1020968,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-3.704258,LFD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-2.9787545,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-3.3405826,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-4.08672,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-2.7366323,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-3.4310536,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-3.075565,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-4.099344,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-2.8375726,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-3.5472388,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-3.2311077,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-2.900509,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-4.1656876,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-3.9030843,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-3.5020728,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-3.1815038,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-4.4022183,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-2.8055534,LFD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-2.45376,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-2.3051789,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-2.333223,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-2.6354146,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-2.820387,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-2.6320186,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-2.5861742,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-2.9832003,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-2.5917203,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-2.8742056,LFD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-2.9627945,LFD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-2.008727,LFD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-2.6387174,LFD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-2.415518,LFD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-2.3488421,LFD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-3.1454144,LFD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-3.516746,LFD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-2.8910856,LFD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-2.4263897,LFD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-2.5807765,LFD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-2.7599502,LFD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-2.6479628,LFD,year,days_with_air_temperature_below_threshold,days,7
09679_Würzburg,-2.4655037,LFD,year,days_with_air_temperature_below_threshold,days,7
09761_Augsburg,-2.704718,LFD,year,days_with_air_temperature_below_threshold,days,7
09762_Kaufbeuren,-3.7292871,LFD,year,days_with_air_temperature_below_threshold,days,7
09763_Kempten (Allgäu),-4.1518025,LFD,year,days_with_air_temperature_below_threshold,days,7
09764_Memmingen,-3.4709764,LFD,year,days_with_air_temperature_below_threshold,days,7
09771_Aichach-Friedberg,-2.8772917,LFD,year,days_with_air_temperature_below_threshold,days,7
09772_Augsburg,-3.0048058,LFD,year,days_with_air_temperature_below_threshold,days,7
09773_Dillingen a.d. Donau,-3.014379,LFD,year,days_with_air_temperature_below_threshold,days,7
09774_Günzburg,-3.0724556,LFD,year,days_with_air_temperature_below_threshold,days,7
09775_Neu-Ulm,-3.1699443,LFD,year,days_with_air_temperature_below_threshold,days,7
