region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09273_Kelheim,-1.8445544242858887,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-1.8620469570159912,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-2.034428596496582,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-3.2034339904785156,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-1.6415033340454102,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-1.8646342754364014,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-1.704071283340454,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-2.319556713104248,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-1.8064254522323608,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-2.617213726043701,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-2.319066047668457,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-2.460779905319214,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-2.2159571647644043,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-2.622335910797119,LFD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-1.9193754196166992,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-2.3232436180114746,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-3.0527610778808594,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-1.8461573123931885,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-2.368673086166382,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-2.191932439804077,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-2.9082412719726562,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-1.9453034400939941,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-2.5082497596740723,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-2.2979602813720703,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-2.042963743209839,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-3.088430404663086,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-3.042119026184082,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-2.4750118255615234,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-2.2363691329956055,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-3.419938087463379,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-1.8586955070495605,LFD,year,days_with_air_temperature_below_threshold,days,7
