region,ci_name,ci_frequency,standard_name,units,mid_month,LFD_year_4C_rcp85_ensemble-robustness
12062_Elbe-Elster,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12063_Havelland,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12064_Märkisch-Oderland,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12065_Oberhavel,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12066_Oberspreewald-Lausitz,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12067_Oder-Spree,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12068_Ostprignitz-Ruppin,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12069_Potsdam-Mittelmark,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12070_Prignitz,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12071_Spree-Neiße,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
12072_Teltow-Fläming,LFD,year,days_with_air_temperature_below_threshold,days,7,-2
