region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06414_Wiesbaden,-5.221447944641113,LFD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-4.731566429138184,LFD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-4.888190269470215,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-4.950119972229004,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-6.226996421813965,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-6.723243713378906,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-5.6034088134765625,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-5.947797775268555,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-4.626599311828613,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-7.031928062438965,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-7.2700347900390625,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-7.923784255981445,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-7.973302841186523,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-7.535320281982422,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-8.823562622070312,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-8.041770935058594,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-8.817392349243164,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-8.006193161010742,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-8.359830856323242,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-9.216484069824219,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-8.577516555786133,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-9.091337203979492,LFD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-8.984779357910156,LFD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-6.340047836303711,LFD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-7.497917175292969,LFD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-7.628728866577148,LFD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-6.985710144042969,LFD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-7.606945037841797,LFD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-7.255035400390625,LFD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-6.745760917663574,LFD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-6.432151794433594,LFD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-7.570363998413086,LFD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-7.217716217041016,LFD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-7.720256805419922,LFD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-6.590002059936523,LFD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-7.147186279296875,LFD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-8.232460021972656,LFD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-8.787681579589844,LFD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-7.037815093994141,LFD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-4.160793781280518,LFD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-6.38804817199707,LFD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-5.719125747680664,LFD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-4.160003185272217,LFD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-5.323633193969727,LFD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-5.208022117614746,LFD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-6.748056411743164,LFD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-4.487444877624512,LFD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-5.229056358337402,LFD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-7.101434707641602,LFD,year,days_with_air_temperature_below_threshold,days,7
