region,LFD_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08222_Mannheim,-0.05625053495168686,LFD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-0.7483325600624084,LFD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-0.2758711576461792,LFD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-1.1272883415222168,LFD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-1.8446261882781982,LFD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-0.8840290307998657,LFD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-1.9284405708312988,LFD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-0.9032891988754272,LFD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-2.3234972953796387,LFD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-1.0322446823120117,LFD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-0.9303686022758484,LFD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-2.246066093444824,LFD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-2.8173890113830566,LFD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-1.7329132556915283,LFD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-0.1934467852115631,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-0.8012178540229797,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-0.6588917970657349,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-2.277766466140747,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-1.5386114120483398,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-2.766676902770996,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-1.070460319519043,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-1.4334975481033325,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-1.5584087371826172,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-0.05591491609811783,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-1.393519401550293,LFD,year,days_with_air_temperature_below_threshold,days,7
