region,DSf_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
12052_Cottbus,1.6898555755615234,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),1.5371475219726562,DSf,year,dry_spell_frequency,,7
12054_Potsdam,1.4894933700561523,DSf,year,dry_spell_frequency,,7
12060_Barnim,1.070694923400879,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,1.4711647033691406,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,1.9749155044555664,DSf,year,dry_spell_frequency,,7
12063_Havelland,1.6142950057983398,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,1.484227180480957,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,1.3419828414916992,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,1.3768587112426758,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,1.7632761001586914,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,1.7950019836425781,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,1.3121824264526367,DSf,year,dry_spell_frequency,,7
12070_Prignitz,1.8660144805908203,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,1.6893682479858398,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,1.4679851531982422,DSf,year,dry_spell_frequency,,7
12073_Uckermark,1.6603813171386719,DSf,year,dry_spell_frequency,,7
13003_Rostock,1.8542842864990234,DSf,year,dry_spell_frequency,,7
13004_Schwerin,1.8671064376831055,DSf,year,dry_spell_frequency,,7
13072_Rostock,1.818617820739746,DSf,year,dry_spell_frequency,,7
13076_Ludwigslust-Parchim,1.5655517578125,DSf,year,dry_spell_frequency,,7
13071_Mecklenburgische Seenplatte,1.8746013641357422,DSf,year,dry_spell_frequency,,7
13073_Vorpommern-Rügen,1.7705612182617188,DSf,year,dry_spell_frequency,,7
13074_Nordwestmecklenburg,1.6883964538574219,DSf,year,dry_spell_frequency,,7
13075_Vorpommern-Greifswald,2.0979537963867188,DSf,year,dry_spell_frequency,,7
14511_Chemnitz,1.5047931671142578,DSf,year,dry_spell_frequency,,7
