region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09663_Würzburg,0.17703861,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,0.29855227,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,0.25816113,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,0.21166152,DSf,year,dry_spell_frequency,,7
09674_Haßberge,0.14255151,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,0.11607391,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,0.30392548,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,0.22972974,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,0.1381973,DSf,year,dry_spell_frequency,,7
09679_Würzburg,0.19758427,DSf,year,dry_spell_frequency,,7
09761_Augsburg,0.15946776,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,0.07560467,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),0.20541959,DSf,year,dry_spell_frequency,,7
09764_Memmingen,0.16218188,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,0.17242374,DSf,year,dry_spell_frequency,,7
09772_Augsburg,0.1343214,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,0.1222355,DSf,year,dry_spell_frequency,,7
09774_Günzburg,0.11790981,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,0.15596998,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),0.20166305,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,0.11496891,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,0.16134073,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,0.14390951,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,0.17697081,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,0.520323,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,0.44202706,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,0.4695845,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,0.49841857,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,0.51378256,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,0.4248144,DSf,year,dry_spell_frequency,,7
11000_Berlin,-0.1312106,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,-0.19934763,DSf,year,dry_spell_frequency,,7
12052_Cottbus,-0.2580398,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),-0.20353317,DSf,year,dry_spell_frequency,,7
12054_Potsdam,-0.17683765,DSf,year,dry_spell_frequency,,7
12060_Barnim,-0.14761867,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,-0.2594577,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,-0.2115506,DSf,year,dry_spell_frequency,,7
12063_Havelland,-0.15008233,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,-0.19943686,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,-0.10922741,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,-0.222315,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,-0.2139228,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,-0.078492366,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,-0.21069063,DSf,year,dry_spell_frequency,,7
12070_Prignitz,-0.0674734,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,-0.24778326,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,-0.2561069,DSf,year,dry_spell_frequency,,7
12073_Uckermark,-0.0919535,DSf,year,dry_spell_frequency,,7
13003_Rostock,-0.08270303,DSf,year,dry_spell_frequency,,7
13004_Schwerin,0.026731173,DSf,year,dry_spell_frequency,,7
13072_Rostock,-0.111267224,DSf,year,dry_spell_frequency,,7
13076_Ludwigslust-Parchim,-0.027917042,DSf,year,dry_spell_frequency,,7
13071_Mecklenburgische Seenplatte,-0.10361513,DSf,year,dry_spell_frequency,,7
