region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09176_Eichstätt,-1.3307456970214844,DSf,year,dry_spell_frequency,,7
09177_Erding,-1.367997169494629,DSf,year,dry_spell_frequency,,7
09178_Freising,-1.2521867752075195,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,-0.8669948577880859,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,-1.447763442993164,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,-0.8731756210327148,DSf,year,dry_spell_frequency,,7
09182_Miesbach,-1.4423046112060547,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,-1.328780174255371,DSf,year,dry_spell_frequency,,7
09184_München,-1.2278947830200195,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,-1.1199760437011719,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,-1.1826858520507812,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,-1.384211540222168,DSf,year,dry_spell_frequency,,7
09188_Starnberg,-1.1687307357788086,DSf,year,dry_spell_frequency,,7
09189_Traunstein,-1.1660223007202148,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,-1.0900516510009766,DSf,year,dry_spell_frequency,,7
09261_Landshut,-1.4493818283081055,DSf,year,dry_spell_frequency,,7
09262_Passau,-1.3817024230957031,DSf,year,dry_spell_frequency,,7
09263_Straubing,-1.4984626770019531,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,-1.3779468536376953,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,-1.3079938888549805,DSf,year,dry_spell_frequency,,7
09273_Kelheim,-1.0951623916625977,DSf,year,dry_spell_frequency,,7
09274_Landshut,-1.370387077331543,DSf,year,dry_spell_frequency,,7
09275_Passau,-1.102248191833496,DSf,year,dry_spell_frequency,,7
09276_Regen,-1.6486015319824219,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,-1.1131095886230469,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,-1.3418922424316406,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,-1.3618831634521484,DSf,year,dry_spell_frequency,,7
09361_Amberg,-1.5437278747558594,DSf,year,dry_spell_frequency,,7
09362_Regensburg,-1.583531379699707,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,-1.2908658981323242,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,-1.446075439453125,DSf,year,dry_spell_frequency,,7
09372_Cham,-1.4649505615234375,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,-1.3010225296020508,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,-1.2792625427246094,DSf,year,dry_spell_frequency,,7
09375_Regensburg,-1.5339279174804688,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,-1.2003469467163086,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,-1.4860591888427734,DSf,year,dry_spell_frequency,,7
09461_Bamberg,-1.2226362228393555,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,-1.4604854583740234,DSf,year,dry_spell_frequency,,7
09463_Coburg,-1.1663837432861328,DSf,year,dry_spell_frequency,,7
09464_Hof,-1.504105567932129,DSf,year,dry_spell_frequency,,7
09471_Bamberg,-1.1953020095825195,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,-1.1774768829345703,DSf,year,dry_spell_frequency,,7
09473_Coburg,-0.9033136367797852,DSf,year,dry_spell_frequency,,7
09474_Forchheim,-1.0164923667907715,DSf,year,dry_spell_frequency,,7
09475_Hof,-1.2289819717407227,DSf,year,dry_spell_frequency,,7
09476_Kronach,-1.0020341873168945,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,-1.2351632118225098,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,-1.2808828353881836,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,-1.395101547241211,DSf,year,dry_spell_frequency,,7
09561_Ansbach,-1.650125503540039,DSf,year,dry_spell_frequency,,7
09562_Erlangen,-1.2908573150634766,DSf,year,dry_spell_frequency,,7
09563_Fürth,-1.3875017166137695,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,-1.38287353515625,DSf,year,dry_spell_frequency,,7
09565_Schwabach,-1.6664085388183594,DSf,year,dry_spell_frequency,,7
09571_Ansbach,-1.380859375,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,-1.1675529479980469,DSf,year,dry_spell_frequency,,7
09573_Fürth,-1.5076913833618164,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,-1.250413417816162,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-1.1223487854003906,DSf,year,dry_spell_frequency,,7
09576_Roth,-1.5691337585449219,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,-1.3555717468261719,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,-0.8410749435424805,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,-1.1162357330322266,DSf,year,dry_spell_frequency,,7
09663_Würzburg,-1.2067365646362305,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,-1.0845813751220703,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,-1.1581354141235352,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,-1.0106706619262695,DSf,year,dry_spell_frequency,,7
09674_Haßberge,-1.2176427841186523,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,-1.1919126510620117,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,-1.1482524871826172,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,-1.3725337982177734,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,-1.1150455474853516,DSf,year,dry_spell_frequency,,7
09679_Würzburg,-1.2048044204711914,DSf,year,dry_spell_frequency,,7
09761_Augsburg,-0.7611865997314453,DSf,year,dry_spell_frequency,,7
