region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09271_Deggendorf,1.6878557205200195,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,1.5310287475585938,DSf,year,dry_spell_frequency,,7
09273_Kelheim,1.7242794036865234,DSf,year,dry_spell_frequency,,7
09274_Landshut,1.3790216445922852,DSf,year,dry_spell_frequency,,7
09275_Passau,1.6433467864990234,DSf,year,dry_spell_frequency,,7
09276_Regen,1.8296194076538086,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,1.5981388092041016,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,1.7601556777954102,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,1.340743064880371,DSf,year,dry_spell_frequency,,7
09361_Amberg,1.333333969116211,DSf,year,dry_spell_frequency,,7
09362_Regensburg,1.693995475769043,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,1.3966007232666016,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,1.3354768753051758,DSf,year,dry_spell_frequency,,7
09372_Cham,1.7286367416381836,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,1.364253044128418,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,1.439016342163086,DSf,year,dry_spell_frequency,,7
09375_Regensburg,1.5820198059082031,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,1.732412338256836,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,1.193023681640625,DSf,year,dry_spell_frequency,,7
09461_Bamberg,1.7298240661621094,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,1.404867172241211,DSf,year,dry_spell_frequency,,7
09463_Coburg,1.7526311874389648,DSf,year,dry_spell_frequency,,7
09464_Hof,1.6927738189697266,DSf,year,dry_spell_frequency,,7
09471_Bamberg,1.4778833389282227,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,1.386678695678711,DSf,year,dry_spell_frequency,,7
09473_Coburg,1.5548839569091797,DSf,year,dry_spell_frequency,,7
09474_Forchheim,1.5743045806884766,DSf,year,dry_spell_frequency,,7
