region,ci_name,ci_frequency,standard_name,units,mid_month,DSf_year_1.5C_rcp85_ensemble-robustness
09163_Rosenheim,DSf,year,dry_spell_frequency,,7,
09171_Altötting,DSf,year,dry_spell_frequency,,7,
09172_Berchtesgadener Land,DSf,year,dry_spell_frequency,,7,
09173_Bad Tölz-Wolfratshausen,DSf,year,dry_spell_frequency,,7,
09174_Dachau,DSf,year,dry_spell_frequency,,7,
09175_Ebersberg,DSf,year,dry_spell_frequency,,7,
09176_Eichstätt,DSf,year,dry_spell_frequency,,7,1.0
09177_Erding,DSf,year,dry_spell_frequency,,7,
09178_Freising,DSf,year,dry_spell_frequency,,7,1.0
09179_Fürstenfeldbruck,DSf,year,dry_spell_frequency,,7,
09180_Garmisch-Partenkirchen,DSf,year,dry_spell_frequency,,7,
09181_Landsberg am Lech,DSf,year,dry_spell_frequency,,7,
09182_Miesbach,DSf,year,dry_spell_frequency,,7,
09183_Mühldorf a. Inn,DSf,year,dry_spell_frequency,,7,
09184_München,DSf,year,dry_spell_frequency,,7,
09185_Neuburg-Schrobenhausen,DSf,year,dry_spell_frequency,,7,
09186_Pfaffenhofen a.d. Ilm,DSf,year,dry_spell_frequency,,7,1.0
09187_Rosenheim,DSf,year,dry_spell_frequency,,7,
09188_Starnberg,DSf,year,dry_spell_frequency,,7,
09189_Traunstein,DSf,year,dry_spell_frequency,,7,
09190_Weilheim-Schongau,DSf,year,dry_spell_frequency,,7,
09261_Landshut,DSf,year,dry_spell_frequency,,7,
09262_Passau,DSf,year,dry_spell_frequency,,7,
09263_Straubing,DSf,year,dry_spell_frequency,,7,
09271_Deggendorf,DSf,year,dry_spell_frequency,,7,
09272_Freyung-Grafenau,DSf,year,dry_spell_frequency,,7,
09273_Kelheim,DSf,year,dry_spell_frequency,,7,
09274_Landshut,DSf,year,dry_spell_frequency,,7,
09275_Passau,DSf,year,dry_spell_frequency,,7,
09276_Regen,DSf,year,dry_spell_frequency,,7,
09277_Rottal-Inn,DSf,year,dry_spell_frequency,,7,
09278_Straubing-Bogen,DSf,year,dry_spell_frequency,,7,
09279_Dingolfing-Landau,DSf,year,dry_spell_frequency,,7,
09361_Amberg,DSf,year,dry_spell_frequency,,7,1.0
09362_Regensburg,DSf,year,dry_spell_frequency,,7,
09363_Weiden i.d. OPf.,DSf,year,dry_spell_frequency,,7,
09371_Amberg-Sulzbach,DSf,year,dry_spell_frequency,,7,
09372_Cham,DSf,year,dry_spell_frequency,,7,
09373_Neumarkt i.d. OPf.,DSf,year,dry_spell_frequency,,7,
09374_Neustadt a.d. Waldnaab,DSf,year,dry_spell_frequency,,7,
09375_Regensburg,DSf,year,dry_spell_frequency,,7,
09376_Schwandorf,DSf,year,dry_spell_frequency,,7,
09377_Tirschenreuth,DSf,year,dry_spell_frequency,,7,
09461_Bamberg,DSf,year,dry_spell_frequency,,7,
09462_Bayreuth,DSf,year,dry_spell_frequency,,7,
09463_Coburg,DSf,year,dry_spell_frequency,,7,1.0
09464_Hof,DSf,year,dry_spell_frequency,,7,
09471_Bamberg,DSf,year,dry_spell_frequency,,7,
09472_Bayreuth,DSf,year,dry_spell_frequency,,7,
09473_Coburg,DSf,year,dry_spell_frequency,,7,
09474_Forchheim,DSf,year,dry_spell_frequency,,7,
09475_Hof,DSf,year,dry_spell_frequency,,7,
09476_Kronach,DSf,year,dry_spell_frequency,,7,
09477_Kulmbach,DSf,year,dry_spell_frequency,,7,
09478_Lichtenfels,DSf,year,dry_spell_frequency,,7,
09479_Wunsiedel i. Fichtelgebirge,DSf,year,dry_spell_frequency,,7,
09561_Ansbach,DSf,year,dry_spell_frequency,,7,
09562_Erlangen,DSf,year,dry_spell_frequency,,7,
09563_Fürth,DSf,year,dry_spell_frequency,,7,
09564_Nürnberg,DSf,year,dry_spell_frequency,,7,
09565_Schwabach,DSf,year,dry_spell_frequency,,7,
09571_Ansbach,DSf,year,dry_spell_frequency,,7,
09572_Erlangen-Höchstadt,DSf,year,dry_spell_frequency,,7,
09573_Fürth,DSf,year,dry_spell_frequency,,7,
