region,DSf_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09182_Miesbach,-0.24078777,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,-0.25989866,DSf,year,dry_spell_frequency,,7
09184_München,-0.2175633,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,-0.2024157,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,-0.17431013,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,-0.28470305,DSf,year,dry_spell_frequency,,7
09188_Starnberg,-0.19295737,DSf,year,dry_spell_frequency,,7
09189_Traunstein,-0.20791207,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,-0.2743865,DSf,year,dry_spell_frequency,,7
09261_Landshut,-0.20752591,DSf,year,dry_spell_frequency,,7
09262_Passau,-0.25382575,DSf,year,dry_spell_frequency,,7
09263_Straubing,-0.28956804,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,-0.26530126,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,-0.2111967,DSf,year,dry_spell_frequency,,7
09273_Kelheim,-0.2413283,DSf,year,dry_spell_frequency,,7
09274_Landshut,-0.25353733,DSf,year,dry_spell_frequency,,7
09275_Passau,-0.24545996,DSf,year,dry_spell_frequency,,7
09276_Regen,-0.15591544,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,-0.26613376,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,-0.25357705,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,-0.30071446,DSf,year,dry_spell_frequency,,7
09361_Amberg,-0.22433579,DSf,year,dry_spell_frequency,,7
09362_Regensburg,-0.31088054,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,-0.19284673,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,-0.21100271,DSf,year,dry_spell_frequency,,7
09372_Cham,-0.18741526,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,-0.21589671,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,-0.17937216,DSf,year,dry_spell_frequency,,7
09375_Regensburg,-0.2725104,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,-0.22834134,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,-0.1911569,DSf,year,dry_spell_frequency,,7
09461_Bamberg,-0.18214306,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,-0.19565912,DSf,year,dry_spell_frequency,,7
09463_Coburg,-0.06357803,DSf,year,dry_spell_frequency,,7
09464_Hof,-0.4230453,DSf,year,dry_spell_frequency,,7
09471_Bamberg,-0.18234658,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,-0.18287106,DSf,year,dry_spell_frequency,,7
09473_Coburg,-0.061873496,DSf,year,dry_spell_frequency,,7
09474_Forchheim,-0.21091685,DSf,year,dry_spell_frequency,,7
09475_Hof,-0.23758313,DSf,year,dry_spell_frequency,,7
09476_Kronach,-0.056648865,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,-0.13511623,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,-0.08067427,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,-0.2554274,DSf,year,dry_spell_frequency,,7
09561_Ansbach,-0.23534852,DSf,year,dry_spell_frequency,,7
09562_Erlangen,-0.26384437,DSf,year,dry_spell_frequency,,7
09563_Fürth,-0.3061156,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,-0.29227012,DSf,year,dry_spell_frequency,,7
09565_Schwabach,-0.27798387,DSf,year,dry_spell_frequency,,7
09571_Ansbach,-0.20532848,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,-0.22947787,DSf,year,dry_spell_frequency,,7
09573_Fürth,-0.3110954,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,-0.21463063,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-0.20135298,DSf,year,dry_spell_frequency,,7
09576_Roth,-0.2240848,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,-0.17699158,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,-0.010939707,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,-0.18696299,DSf,year,dry_spell_frequency,,7
