region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09462_Bayreuth,0.03377532958984375,DSf,year,dry_spell_frequency,,7
09463_Coburg,0.32347965240478516,DSf,year,dry_spell_frequency,,7
09464_Hof,0.005276679992675781,DSf,year,dry_spell_frequency,,7
09471_Bamberg,0.1054849624633789,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,0.012189865112304688,DSf,year,dry_spell_frequency,,7
09473_Coburg,0.2769041061401367,DSf,year,dry_spell_frequency,,7
09474_Forchheim,0.06142616271972656,DSf,year,dry_spell_frequency,,7
09475_Hof,0.11603355407714844,DSf,year,dry_spell_frequency,,7
09476_Kronach,0.28519439697265625,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,0.0674905776977539,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,0.10773563385009766,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,0.17520999908447266,DSf,year,dry_spell_frequency,,7
09561_Ansbach,0.09457969665527344,DSf,year,dry_spell_frequency,,7
09562_Erlangen,0.1340322494506836,DSf,year,dry_spell_frequency,,7
09563_Fürth,0.06666755676269531,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,0.05217170715332031,DSf,year,dry_spell_frequency,,7
09565_Schwabach,0.11126708984375,DSf,year,dry_spell_frequency,,7
09571_Ansbach,0.18714237213134766,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,0.15887928009033203,DSf,year,dry_spell_frequency,,7
09573_Fürth,0.008049964904785156,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,0.14601421356201172,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.22933387756347656,DSf,year,dry_spell_frequency,,7
09576_Roth,0.12010955810546875,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,0.21277236938476562,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,0.2662029266357422,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,0.1611776351928711,DSf,year,dry_spell_frequency,,7
09663_Würzburg,0.17447853088378906,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,0.20189571380615234,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,0.2667512893676758,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,0.31214046478271484,DSf,year,dry_spell_frequency,,7
09674_Haßberge,0.20247840881347656,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,0.17670536041259766,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,0.264404296875,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,0.23835468292236328,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,0.12272453308105469,DSf,year,dry_spell_frequency,,7
09679_Würzburg,0.1793832778930664,DSf,year,dry_spell_frequency,,7
09761_Augsburg,0.15881633758544922,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,0.11296844482421875,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),0.2502431869506836,DSf,year,dry_spell_frequency,,7
09764_Memmingen,0.16402816772460938,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,0.23826122283935547,DSf,year,dry_spell_frequency,,7
09772_Augsburg,0.20145511627197266,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,0.14661693572998047,DSf,year,dry_spell_frequency,,7
09774_Günzburg,0.071197509765625,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,0.1610727310180664,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),0.246002197265625,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,0.09533023834228516,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,0.22494983673095703,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,0.17805004119873047,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,0.141998291015625,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,0.4182605743408203,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,0.41318702697753906,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,0.4872760772705078,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,0.4095611572265625,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,0.47412681579589844,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,0.40906715393066406,DSf,year,dry_spell_frequency,,7
11000_Berlin,-0.016264915466308594,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,-0.2115650177001953,DSf,year,dry_spell_frequency,,7
12052_Cottbus,-0.27446651458740234,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),-0.21771621704101562,DSf,year,dry_spell_frequency,,7
12054_Potsdam,-0.20942020416259766,DSf,year,dry_spell_frequency,,7
12060_Barnim,-0.01653575897216797,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,-0.31870365142822266,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,-0.2145862579345703,DSf,year,dry_spell_frequency,,7
12063_Havelland,-0.12921142578125,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,-0.14121246337890625,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,-0.06190299987792969,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,-0.21575450897216797,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,-0.19283580780029297,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,0.09696674346923828,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,-0.3014488220214844,DSf,year,dry_spell_frequency,,7
12070_Prignitz,0.04578876495361328,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,-0.2608623504638672,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,-0.38001155853271484,DSf,year,dry_spell_frequency,,7
12073_Uckermark,-0.056967735290527344,DSf,year,dry_spell_frequency,,7
13003_Rostock,-0.10861778259277344,DSf,year,dry_spell_frequency,,7
13004_Schwerin,0.054454803466796875,DSf,year,dry_spell_frequency,,7
13072_Rostock,-0.17403888702392578,DSf,year,dry_spell_frequency,,7
13076_Ludwigslust-Parchim,0.051868438720703125,DSf,year,dry_spell_frequency,,7
13071_Mecklenburgische Seenplatte,-0.05710792541503906,DSf,year,dry_spell_frequency,,7
13073_Vorpommern-Rügen,-0.1423664093017578,DSf,year,dry_spell_frequency,,7
