region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07331_Alzey-Worms,1.4534026384353638,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,1.1873730421066284,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,1.0762848854064941,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,1.678288459777832,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,1.125349760055542,HSx3,year,hot_spell_duration,days,7
07336_Kusel,1.121748924255371,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,1.3245384693145752,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,1.4377503395080566,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,1.565727710723877,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,1.286552906036377,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,1.161269187927246,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,1.4088425636291504,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,1.4385690689086914,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,1.2703287601470947,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,1.2280690670013428,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,0.8447691202163696,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,1.4474743604660034,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,1.360651969909668,HSx3,year,hot_spell_duration,days,7
08121_08125_Region_um_Heilbronn,1.3399776220321655,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,1.443141222000122,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,1.3490259647369385,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,1.2603533267974854,HSx3,year,hot_spell_duration,days,7
08127_Schwäbisch Hall,1.106465220451355,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,1.193446159362793,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,0.9413371682167053,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,1.0432158708572388,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,1.2061829566955566,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,1.0726170539855957,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,1.5013322830200195,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,1.517608642578125,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,1.447739839553833,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,1.164839267730713,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,1.4105806350708008,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,1.5916624069213867,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,1.3995236158370972,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,1.6382181644439697,HSx3,year,hot_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,1.1070224046707153,HSx3,year,hot_spell_duration,days,7
08226_Rhein-Neckar-Kreis,1.4312067031860352,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,0.9505903124809265,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,1.2149672508239746,HSx3,year,hot_spell_duration,days,7
08235_Calw,0.8269966840744019,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,1.1975188255310059,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,0.6491744518280029,HSx3,year,hot_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.0843645334243774,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,1.1702356338500977,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,0.8124971389770508,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,1.2799887657165527,HSx3,year,hot_spell_duration,days,7
