region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06632_Hersfeld-Rotenburg,4.444429397583008,HSx3,year,hot_spell_duration,days,7
06633_Kassel,3.6604223251342773,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,4.120349407196045,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,3.655379056930542,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,4.266975402832031,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,4.450867176055908,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,4.9364848136901855,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,3.224973440170288,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),3.5444929599761963,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,4.611160755157471,HSx3,year,hot_spell_duration,days,7
07134_Birkenfeld,3.963390588760376,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,4.209867477416992,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,4.220095634460449,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,5.222356796264648,HSx3,year,hot_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,3.6875526905059814,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,4.485573768615723,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,4.557415962219238,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,4.101184844970703,HSx3,year,hot_spell_duration,days,7
07211_Trier,3.974968910217285,HSx3,year,hot_spell_duration,days,7
07231_Bernkastel-Wittlich,3.707108497619629,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,3.474339246749878,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,3.256436347961426,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,4.115447044372559,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),6.351422309875488,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),6.343475341796875,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,5.4892120361328125,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,5.130274295806885,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,6.181282997131348,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,6.177613258361816,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,6.347078323364258,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,6.300440788269043,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,6.26230525970459,HSx3,year,hot_spell_duration,days,7
07315_Mainz,6.731855392456055,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,6.082720756530762,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,5.927578449249268,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,5.525358200073242,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,5.400193214416504,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,5.53915548324585,HSx3,year,hot_spell_duration,days,7
07318_Speyer,6.4146575927734375,HSx3,year,hot_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,5.826181888580322,HSx3,year,hot_spell_duration,days,7
07319_Worms,6.627906799316406,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,5.247617721557617,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,4.9596757888793945,HSx3,year,hot_spell_duration,days,7
07331_Alzey-Worms,5.857213497161865,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,5.993774890899658,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,4.9528656005859375,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,5.974064350128174,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,5.08690881729126,HSx3,year,hot_spell_duration,days,7
07336_Kusel,4.861340522766113,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,6.1818084716796875,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,5.793708324432373,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,6.270064353942871,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,5.915244102478027,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,5.534046173095703,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,4.779160022735596,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,4.713556289672852,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,4.602902412414551,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,4.73560094833374,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,4.378464221954346,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,4.775609493255615,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,4.956315517425537,HSx3,year,hot_spell_duration,days,7
08121_08125_Region_um_Heilbronn,4.88592529296875,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,5.0814208984375,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,4.886289596557617,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,4.710258960723877,HSx3,year,hot_spell_duration,days,7
08127_Schwäbisch Hall,4.93270206451416,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,4.800050735473633,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,4.5266947746276855,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,4.52777099609375,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,4.655735015869141,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,4.565524578094482,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,5.539041996002197,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,5.8327507972717285,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,5.3646440505981445,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,4.6725969314575195,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,5.8733930587768555,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,6.172372341156006,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,5.873344421386719,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,6.610847473144531,HSx3,year,hot_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,5.024003028869629,HSx3,year,hot_spell_duration,days,7
08226_Rhein-Neckar-Kreis,5.75933837890625,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,4.063541412353516,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,4.635636329650879,HSx3,year,hot_spell_duration,days,7
08235_Calw,3.5774102210998535,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,4.6344146728515625,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,3.645465850830078,HSx3,year,hot_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,4.6031084060668945,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,5.157769203186035,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,3.9863498210906982,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,5.7364912033081055,HSx3,year,hot_spell_duration,days,7
08317_Ortenaukreis,5.082492828369141,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,3.8134613037109375,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,3.124390125274658,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,3.591679096221924,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,4.812639236450195,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,4.650465965270996,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,3.9715850353240967,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,3.499634265899658,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,4.365036964416504,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,3.5030620098114014,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,4.387753963470459,HSx3,year,hot_spell_duration,days,7
08421_Ulm,4.724737167358398,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,4.147609710693359,HSx3,year,hot_spell_duration,days,7
08426_Biberach,4.23559045791626,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,4.104191303253174,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,3.2859461307525635,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,3.802924156188965,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,5.317713737487793,HSx3,year,hot_spell_duration,days,7
