region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07134_Birkenfeld,8.35556697845459,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,8.106100082397461,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,8.321489334106445,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,7.957669258117676,HSx3,year,hot_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,8.116697311401367,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,9.201006889343262,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,7.637887477874756,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,9.281231880187988,HSx3,year,hot_spell_duration,days,7
07211_Trier,10.363621711730957,HSx3,year,hot_spell_duration,days,7
07231_Bernkastel-Wittlich,8.538761138916016,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,7.2869415283203125,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,5.995813846588135,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,9.158919334411621,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),19.06648063659668,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),19.225879669189453,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,13.485844612121582,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,12.300190925598145,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,15.234112739562988,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,14.67249870300293,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,19.048885345458984,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,19.131481170654297,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,15.249818801879883,HSx3,year,hot_spell_duration,days,7
07315_Mainz,15.814621925354004,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,15.067732810974121,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,15.964170455932617,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,13.325702667236328,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,13.204444885253906,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,17.908735275268555,HSx3,year,hot_spell_duration,days,7
07318_Speyer,19.32244873046875,HSx3,year,hot_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,16.352365493774414,HSx3,year,hot_spell_duration,days,7
07319_Worms,18.227582931518555,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,13.408421516418457,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,13.812830924987793,HSx3,year,hot_spell_duration,days,7
07331_Alzey-Worms,16.32781982421875,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,14.707160949707031,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,13.426239013671875,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,18.842029571533203,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,12.585641860961914,HSx3,year,hot_spell_duration,days,7
07336_Kusel,11.877723693847656,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,15.314522743225098,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,17.211462020874023,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,19.029415130615234,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,14.555344581604004,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,13.334117889404297,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,13.918281555175781,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,14.317011833190918,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,11.884434700012207,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,12.805421829223633,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,10.356474876403809,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,16.656593322753906,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,13.906525611877441,HSx3,year,hot_spell_duration,days,7
08121_08125_Region_um_Heilbronn,17.136981964111328,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,17.745941162109375,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,17.07752227783203,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,14.85181999206543,HSx3,year,hot_spell_duration,days,7
08127_Schwäbisch Hall,11.18708324432373,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,13.528829574584961,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,10.544548988342285,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,10.91675853729248,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,13.64819622039795,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,13.26533317565918,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,18.361330032348633,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,19.219120025634766,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,18.01746940612793,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,13.719767570495605,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,17.29795265197754,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,17.48229217529297,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,17.16926383972168,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,18.990821838378906,HSx3,year,hot_spell_duration,days,7
