region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05954_Ennepe-Ruhr-Kreis,-0.17451706528663635,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,-0.26885727047920227,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,-0.2042030692100525,HSx3,year,hot_spell_duration,days,7
05966_Olpe,-0.1914924830198288,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,-0.1630920022726059,HSx3,year,hot_spell_duration,days,7
05974_Soest,-0.18207478523254395,HSx3,year,hot_spell_duration,days,7
05978_Unna,-0.19277071952819824,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,-0.06265664100646973,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,0.0578770637512207,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-0.040695905685424805,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,0.034358978271484375,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.009626150131225586,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,0.033333539962768555,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.07298135757446289,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,-0.018680959939956665,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,0.06822538375854492,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,-0.012906074523925781,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,0.002704620361328125,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,-0.26926255226135254,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,0.013797760009765625,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.06183505058288574,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,0.015545129776000977,HSx3,year,hot_spell_duration,days,7
