region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05915_05978_05974_05570_05558_Region_um_Hamm,0.9500694870948792,HSx3,year,hot_spell_duration,days,7
05915_Hamm,0.9684662818908691,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,1.1218061447143555,HSx3,year,hot_spell_duration,days,7
05916_Herne,1.2911696434020996,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,0.8488711714744568,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,0.4664223790168762,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,0.6579227447509766,HSx3,year,hot_spell_duration,days,7
05966_Olpe,0.6887537837028503,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,0.6735629439353943,HSx3,year,hot_spell_duration,days,7
05974_Soest,0.8590138554573059,HSx3,year,hot_spell_duration,days,7
05978_Unna,1.0866786241531372,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,1.6612131595611572,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,1.7637664079666138,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,1.4318490028381348,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,1.7117481231689453,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,1.4964675903320312,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,1.793367624282837,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,1.3638719320297241,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,1.4999384880065918,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,1.7225128412246704,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,1.7942895889282227,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,2.029623508453369,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,1.280543565750122,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,1.4829559326171875,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,1.2912201881408691,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,1.4978375434875488,HSx3,year,hot_spell_duration,days,7
06437_Odenwaldkreis,1.4361422061920166,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,1.5701615810394287,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,1.6835776567459106,HSx3,year,hot_spell_duration,days,7
