region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
07135_Cochem-Zell,HSx3,year,hot_spell_duration,days,7,2
07137_Mayen-Koblenz,HSx3,year,hot_spell_duration,days,7,2
07138_Neuwied,HSx3,year,hot_spell_duration,days,7,2
07140_Rhein-Hunsrück-Kreis,HSx3,year,hot_spell_duration,days,7,2
07141_Rhein-Lahn-Kreis,HSx3,year,hot_spell_duration,days,7,2
07143_Westerwaldkreis,HSx3,year,hot_spell_duration,days,7,2
07211_07235_Region_um_Trier,HSx3,year,hot_spell_duration,days,7,2
07211_Trier,HSx3,year,hot_spell_duration,days,7,1
07231_Bernkastel-Wittlich,HSx3,year,hot_spell_duration,days,7,2
07232_Eifelkreis Bitburg-Prüm,HSx3,year,hot_spell_duration,days,7,2
07233_Vulkaneifel,HSx3,year,hot_spell_duration,days,7,1
07235_Trier-Saarburg,HSx3,year,hot_spell_duration,days,7,2
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),HSx3,year,hot_spell_duration,days,7,2
07311_Frankenthal (Pfalz),HSx3,year,hot_spell_duration,days,7,2
07312_07335_07332_Region_um_Kaiserslautern,HSx3,year,hot_spell_duration,days,7,2
07312_Kaiserslautern,HSx3,year,hot_spell_duration,days,7,1
07313_07337_Region_um_Landau_in_der_Pfalz,HSx3,year,hot_spell_duration,days,7,2
07313_Landau in der Pfalz,HSx3,year,hot_spell_duration,days,7,2
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,HSx3,year,hot_spell_duration,days,7,2
07314_Ludwigshafen am Rhein,HSx3,year,hot_spell_duration,days,7,2
07315_07339_06414_06433_Region_um_Mainz,HSx3,year,hot_spell_duration,days,7,2
07315_Mainz,HSx3,year,hot_spell_duration,days,7,2
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,HSx3,year,hot_spell_duration,days,7,2
07316_Neustadt an der Weinstraße,HSx3,year,hot_spell_duration,days,7,2
07317_07340_Region_um_Pirmasens,HSx3,year,hot_spell_duration,days,7,1
07317_Pirmasens,HSx3,year,hot_spell_duration,days,7,1
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,HSx3,year,hot_spell_duration,days,7,2
07318_Speyer,HSx3,year,hot_spell_duration,days,7,2
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,HSx3,year,hot_spell_duration,days,7,2
07319_Worms,HSx3,year,hot_spell_duration,days,7,2
