region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05770_Minden-Lübbecke,-0.26076993346214294,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,-0.0927988588809967,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.16979670524597168,HSx3,year,hot_spell_duration,days,7
05911_Bochum,-0.3287923336029053,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.1538587510585785,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,-0.21941310167312622,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.18002763390541077,HSx3,year,hot_spell_duration,days,7
05914_Hagen,-0.20354443788528442,HSx3,year,hot_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.11924409866333008,HSx3,year,hot_spell_duration,days,7
05915_Hamm,-0.2562885880470276,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,-0.24446329474449158,HSx3,year,hot_spell_duration,days,7
05916_Herne,-0.5069750547409058,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,-0.16511616110801697,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,-0.043426886200904846,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,-0.19831998646259308,HSx3,year,hot_spell_duration,days,7
05966_Olpe,-0.15595819056034088,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,-0.1276058554649353,HSx3,year,hot_spell_duration,days,7
05974_Soest,-0.08574222028255463,HSx3,year,hot_spell_duration,days,7
05978_Unna,-0.19648191332817078,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,0.02692568302154541,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,0.06250643730163574,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.03173702955245972,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,-0.07392239570617676,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.02859598398208618,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,-0.18673467636108398,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.13325147330760956,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,0.10113891959190369,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,0.15191227197647095,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,0.08406901359558105,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,-0.030896663665771484,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,0.01538385171443224,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,0.057033274322748184,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.10701216757297516,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,0.006412148475646973,HSx3,year,hot_spell_duration,days,7
06437_Odenwaldkreis,0.0056784553453326225,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.07102066278457642,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,-0.16442465782165527,HSx3,year,hot_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,0.0021854001097381115,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,-0.017231762409210205,HSx3,year,hot_spell_duration,days,7
06531_Gießen,0.06428965926170349,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,0.02465358003973961,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,0.037026457488536835,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,-0.0123518705368042,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,0.0014894352061673999,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,-0.06651809811592102,HSx3,year,hot_spell_duration,days,7
06611_Kassel,-0.056543946266174316,HSx3,year,hot_spell_duration,days,7
06631_Fulda,0.0,HSx3,year,hot_spell_duration,days,7
06632_Hersfeld-Rotenburg,-0.03332820534706116,HSx3,year,hot_spell_duration,days,7
06633_Kassel,-0.09172728657722473,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,-0.039067745208740234,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,0.0001995198690565303,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,2.152508204744663e-05,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,-0.02490055561065674,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,-0.10706490278244019,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,-0.10337603092193604,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),-0.08007633686065674,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,0.07236139476299286,HSx3,year,hot_spell_duration,days,7
07134_Birkenfeld,-0.005473978817462921,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,-0.05411282181739807,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,-0.0045067667961120605,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,-0.18132829666137695,HSx3,year,hot_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,-0.04319385439157486,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,-0.04567849636077881,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,-0.015868544578552246,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,-0.0046186745166778564,HSx3,year,hot_spell_duration,days,7
07211_Trier,-0.09152856469154358,HSx3,year,hot_spell_duration,days,7
