realization,region,HSf3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSf3,05558_Coesfeld,0.55424696,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05562_Recklinghausen,0.61292917,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05566_Steinfurt,0.548575,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05570_Warendorf,0.6041288,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05711_05754_05758_05766_Region_um_Bielefeld,0.45197424,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05711_Bielefeld,0.5276055,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05754_Gütersloh,0.6499221,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05758_Herford,0.49996993,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05762_Höxter,0.2905105,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05766_Lippe,0.26482064,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05770_Minden-Lübbecke,0.58029276,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05774_Paderborn,0.38416243,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.5760781,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05911_Bochum,0.6641932,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.5565193,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05913_Dortmund,0.593779,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05914_05954_05913_05978_05962_Region_um_Hagen,0.3869582,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05914_Hagen,0.38824114,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05915_05978_05974_05570_05558_Region_um_Hamm,0.54223853,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05915_Hamm,0.5949144,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05916_05513_05562_05911_Region_um_Herne,0.6304824,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05916_Herne,0.68575805,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05954_Ennepe-Ruhr-Kreis,0.41644236,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05958_Hochsauerlandkreis,0.12910047,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05962_Märkischer Kreis,0.22874442,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05966_Olpe,0.22295131,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05970_Siegen-Wittgenstein,0.19334915,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05974_Soest,0.4494147,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05978_Unna,0.5727697,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06411_06432_06438_Region_um_Darmstadt,0.9946636,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06411_Darmstadt,1.074404,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.7674149,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06412_Frankfurt am Main,1.1300786,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.7079504,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06413_Offenbach am Main,1.0846164,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.90292335,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06414_Wiesbaden,0.9172014,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06431_Bergstraße,0.9386021,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06432_Darmstadt-Dieburg,0.9253529,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06433_Groß-Gerau,1.5764185,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06434_Hochtaunuskreis,0.39855778,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06435_Main-Kinzig-Kreis,0.5237506,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.7766439,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06436_Main-Taunus-Kreis,0.90751046,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06437_Odenwaldkreis,0.3665249,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.8176487,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06438_Offenbach,1.0998454,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06439_Rheingau-Taunus-Kreis,0.38199395,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06440_Wetteraukreis,0.6802034,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06531_Gießen,0.5158454,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06532_Lahn-Dill-Kreis,0.4131822,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06533_Limburg-Weilburg,0.5576258,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06534_Marburg-Biedenkopf,0.40994346,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06535_Vogelsbergkreis,0.22487731,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06611_06633_03159_Region_um_Kassel,0.25250804,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06611_Kassel,0.38987082,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06631_Fulda,0.24638218,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06632_Hersfeld-Rotenburg,0.3955864,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,06633_Kassel,0.26119715,HSf3,year,hot_spell_frequency,,7
