region,SU30_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09276_Regen,0.7343043088912964,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09277_Rottal-Inn,3.438642978668213,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09278_Straubing-Bogen,3.590135097503662,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09279_Dingolfing-Landau,4.332718372344971,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09361_Amberg,2.454777956008911,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09362_Regensburg,4.301794528961182,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09363_Weiden i.d. OPf.,2.329730987548828,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09371_Amberg-Sulzbach,2.591240882873535,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09372_Cham,1.9766514301300049,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09373_Neumarkt i.d. OPf.,2.7098584175109863,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09374_Neustadt a.d. Waldnaab,2.0969834327697754,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09375_Regensburg,3.735306739807129,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09376_Schwandorf,2.9195175170898438,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09377_Tirschenreuth,0.9837875366210938,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09461_Bamberg,4.28425931930542,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09462_Bayreuth,2.231449604034424,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09463_Coburg,3.1164891719818115,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09464_Hof,0.7165847420692444,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
