region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06432_Darmstadt-Dieburg,3.3558106422424316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,3.7183895111083984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,2.439425468444824,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,2.3233349323272705,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,3.451014518737793,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,2.5250742435455322,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,3.8208608627319336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,2.1937012672424316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,2.632061004638672,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,2.353282928466797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,1.8931643962860107,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,2.2501113414764404,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,2.1135952472686768,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,1.6104862689971924,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,1.6960296630859375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,1.38817298412323,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,1.7905522584915161,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,1.485811710357666,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,1.7503557205200195,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,1.1626684665679932,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,1.4712491035461426,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,2.5726094245910645,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,1.3058767318725586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),1.4903351068496704,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,2.6806375980377197,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,1.721224069595337,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,2.0553994178771973,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,2.2014760971069336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,2.1930956840515137,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,1.8260916471481323,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,2.203881025314331,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,1.5838487148284912,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,2.29781436920166,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,1.8245666027069092,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,1.4472894668579102,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,1.0014026165008545,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,2.0176758766174316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),4.649665832519531,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,2.8218727111816406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,3.955158233642578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,4.917062759399414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,3.348496437072754,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,3.444014549255371,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,2.8836793899536133,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,4.775581359863281,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,4.658572673797607,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,2.989612579345703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,3.166414260864258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,3.2924137115478516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,2.882269859313965,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,4.996952056884766,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,2.8893866539001465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,2.7059884071350098,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,4.135075569152832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,4.690044403076172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,3.025782585144043,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,3.1840715408325195,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,3.774700403213501,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,3.309938669204712,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
