region,SU30_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07315_Mainz,37.365013122558594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,36.05838394165039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,30.198406219482422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,42.70304489135742,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,41.05203628540039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,30.951282501220703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,37.72626495361328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,34.491939544677734,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,32.64731216430664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,41.785865783691406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,30.05436134338379,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,29.357404708862305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,34.96713638305664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,42.341522216796875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,34.975345611572266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,30.644622802734375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,35.73821258544922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,30.740842819213867,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,32.6638069152832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,27.741870880126953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,37.78797912597656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,34.069061279296875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,39.28166580200195,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,37.99598693847656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,33.419944763183594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,29.91537094116211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,32.27379608154297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,27.44152069091797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,28.44709014892578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,32.924869537353516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,42.55748748779297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,40.637359619140625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,33.20661926269531,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,39.325382232666016,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,43.09099197387695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,31.541040420532227,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,38.28437042236328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,30.572906494140625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,23.304521560668945,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08236_Enzkreis,33.2593994140625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08237_Freudenstadt,22.128503799438477,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08311_Freiburg im Breisgau,34.68791961669922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08315_Breisgau-Hochschwarzwald,25.290664672851562,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08316_Emmendingen,34.929805755615234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08317_Ortenaukreis,34.761104583740234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08325_Rottweil,23.368722915649414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08326_Schwarzwald-Baar-Kreis,21.570899963378906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08327_Tuttlingen,26.09380340576172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08335_Konstanz,30.683494567871094,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08336_Lörrach,29.228832244873047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08337_Waldshut,29.740720748901367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08415_Reutlingen,23.162168502807617,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
