region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06531_Gießen,-0.001079559326171875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,0.09593680500984192,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,0.13710448145866394,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,-0.031043052673339844,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,0.051329195499420166,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,-0.06659460067749023,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,0.06758727133274078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,0.12427550554275513,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,-0.032939910888671875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,0.11646965891122818,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,0.0374540239572525,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,0.06614625453948975,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,0.20000000298023224,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,0.07004108279943466,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),0.10990224778652191,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,0.14910393953323364,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,0.028770582750439644,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,0.09180612117052078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,0.1382460594177246,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,0.16251999139785767,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,0.07644404470920563,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,0.1317763477563858,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,0.08767471462488174,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,0.15739835798740387,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,0.08224496245384216,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,0.017687080428004265,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
